NB,Tide,Kí_hiệu,Amoni (NH4+),Asen (As),Coliform,DO,Dầu mỡ khoáng,Florua (F-),Kẽm (Zn),Mangan (Mn),Photphat (PO43-),Sắt (Fe),Tổng chất  rắn lơ lửng (TSS),pH,Đồng (Cu)
NB1,CT,T11/20,0.421,0.0060,800,6.57,0.52,1.14,,0.042,0.070,0.10,11.5,7.54,0.017
NB1,CT,T8/20,0.421,0.0060,800,6.57,0.52,1.14,,0.042,0.070,0.10,11.5,7.54,0.017
NB1,ĐT,T11/20,0.088,0.0055,200,6.75,0.50,1.10,,,0.046,,11.0,7.32,0.0041
NB1,ĐT,T8/20,0.088,0.0055,200,6.75,0.50,1.10,,,0.046,,11.0,7.32,0.0041
NB2,CT,T11/20,0.16,0.0037,500,6.84,0.57,0.60,0.036,,0.068,0.22,7.1,7.63,
NB2,CT,T8/20,0.109,0.0076,500,6.32,0.55,1.40,,0.047,0.042,0.13,13.9,7.35,0.009
NB2,ĐT,T11/20,0.11,,230,6.71,0.51,0.56,0.062,,0.062,0.12,6.3,7.82,0.041
NB2,ĐT,T8/20,0.104,0.0057,180,6.61,0.52,1.26,,0.038,0.036,0.10,12.0,7.62,
NB3,CT,T11/20,0.14,0.0044,130,6.45,0.59,1.06,,,,0.19,6.7,7.47,0.061
NB3,CT,T8/20,0.132,0.0064,1400,6.65,0.42,1.02,,0.044,0.054,0.07,13.5,7.56,0.008
NB3,ĐT,T11/20,0.093,0.0024,23,6.21,0.52,0.52,0.054,,,0.12,5.8,7.94,0.058
NB3,ĐT,T8/20,0.119,0.0053,23,6.09,0.40,0.47,,,0.042,,12.1,7.59,
NB4,CT,T11/20,0.193,0.0056,900,6.23,0.45,1.27,,0.045,0.11,0.12,13.5,7.86,0.0054
NB4,CT,T8/20,0.193,0.0056,900,6.23,0.45,1.27,,0.045,0.11,0.12,13.5,7.86,0.0054
NB4,ĐT,T11/20,0.190,0.0039,49,6.21,0.42,0.95,,0.031,0.044,0.09,12.5,7.45,
NB4,ĐT,T8/20,0.190,0.0039,49,6.21,0.42,0.95,,0.031,0.044,0.09,12.5,7.45,
NB5,CT,T11/20,0.323,0.0053,7900,6.21,0.48,1.10,,0.053,0.096,0.16,13.6,7.63,
NB5,CT,T8/20,0.323,0.0053,7900,6.21,0.48,1.10,,0.053,0.096,0.16,13.6,7.63,
NB5,ĐT,T11/20,0.242,0.0034,500,5.94,0.45,1.32,,0.047,0.086,0.12,12.0,7.43,
NB5,ĐT,T8/20,0.242,0.0034,500,5.94,0.45,1.32,,0.047,0.086,0.12,12.0,7.43,
NB6,CT,T11/20,0.596,0.0061,800,6.17,0.44,0.93,,0.085,0.116,0.35,19.5,7.56,0.0056
NB6,CT,T8/20,0.596,0.0061,800,6.17,0.44,0.93,,0.085,0.116,0.35,19.5,7.56,0.0056
NB6,ĐT,T11/20,0.397,0.0040,500,6.32,0.40,1.33,,0.064,0.080,0.29,25.6,7.87,
NB6,ĐT,T8/20,0.397,0.0040,500,6.32,0.40,1.33,,0.064,0.080,0.29,25.6,7.87,
