NB,Tide,Kí_hiệu,Amoni (NH4+),Asen (As),Coliform,DO,Dầu mỡ khoáng,Florua (F-),Mangan (Mn),Photphat (PO43-),Sắt (Fe),Tổng chất  rắn lơ lửng (TSS),pH
NB1,CT,T11/21,0.27,0.0028,500,6.7,0.51,1.1,,0.039,0.34,18.7,7.61
NB1,CT,T8/21,0.39,0.0041,500,6.43,0.39,1.12,0.065,0.065,,18.7,7.65
NB1,ĐT,T11/21,0.042,0.0021,50,6.55,0.32,0.78,,0.024,,16.1,7.64
NB1,ĐT,T8/21,0.07,0.0035,200,6.97,0.53,0.89,,0.037,,15.3,7.56
NB2,CT,T11/21,0.13,0.0033,1100,6.41,0.47,1,,0.076,0.23,23.4,7.51
NB2,CT,T8/21,0.31,0.0033,1400,6.31,0.62,1.16,0.049,0.093,,29.1,7.48
NB2,ĐT,T11/21,0.054,0.0027,70,6.9,0.34,0.69,,0.022,,12.8,7.6
NB2,ĐT,T8/21,0.13,0.0047,230,6.44,0.38,0.97,,0.032,,16.1,7.56
NB3,CT,T11/21,0.099,0.0041,130,6.72,0.45,0.95,0.058,0.042,0.19,13.9,7.6
NB3,CT,T8/21,0.128,0.0033,800,6.53,0.36,1.13,0.056,0.047,,17.4,7.48
NB3,ĐT,T11/21,0.035,0.0035,80,6.52,0.34,0.92,,,,13.2,7.47
NB3,ĐT,T8/21,0.107,0.0042,26,6.31,0.49,0.93,,0.026,,16.7,7.55
NB4,CT,T11/21,0.098,0.0039,920,6.96,0.4,0.88,,0.06,0.085,33.1,7.7
NB4,CT,T8/21,0.196,0.0027,790,6.23,0.46,1.09,0.044,0.12,,32.7,7.43
NB4,ĐT,T11/21,0.036,0.0027,140,6.9,0.37,0.64,,0.04,,13.5,7.64
NB4,ĐT,T8/21,0.184,0.0036,50,6.42,,0.81,,0.039,,17.8,7.67
NB5,CT,T11/21,0.096,0.0033,90,6.71,0.4,1.1,0.062,0.043,0.31,16.1,7.48
NB5,CT,T8/21,0.312,0.0038,790,6.36,,1.1,0.034,0.087,,15.1,7.32
NB5,ĐT,T11/21,0.062,0.0032,70,6.84,0.44,0.92,,0.029,,15.6,7.41
NB5,ĐT,T8/21,0.229,0.0031,23,6.54,0.42,0.88,,0.025,,13.4,7.65
NB6,CT,T11/21,0.3,0.0036,940,6.71,0.41,0.87,0.064,0.056,0.25,27.1,7.52
NB6,CT,T8/21,0.537,0.0036,700,6.43,0.36,0.87,,0.103,,21.7,7.52
NB6,ĐT,T11/21,0.17,0.0033,220,6.74,0.34,0.99,,0.032,0.15,22.3,7.69
NB6,ĐT,T8/21,0.374,0.0052,17,6.67,0.32,0.65,,0.072,,14.2,7.68
