NB,Tide,Kí_hiệu,Amoni (NH4+),Asen (As),Coliform,DO,Dầu mỡ khoáng,Florua (F-),Photphat (PO43-),Tổng chất  rắn lơ lửng (TSS),pH,Đồng (Cu)
NB1,CT,T02/23,0.33,,700,6.1,0.3,1.3,0.08,19.4,7.7,
NB1,CT,T10/23,0.09,,790,6.2,0.48,1.1,0.04,12.7,8.1,0.05
NB1,CT,"T11,12/23",0.09,,1300,6.2,0.47,1.05,0.05,13.3,8.1,0.01
NB1,CT,T4/23,0.13,0.005,630,6.3,0.3,1.2,0.06,17.2,8.2,
NB1,CT,T6/23,0.07,0.003,460,6.3,0.5,1.3,0.04,13.4,8.4,
NB1,CT,T8/23,0.11,0.004,800,6.1,0.48,0.92,0.11,13.5,8.4,
NB1,ĐT,T02/23,0.06,,350,6.1,0.4,0.8,0.04,13.6,7.7,
NB1,ĐT,T10/23,0.08,,400,6.2,0.47,1.04,0.02,8.2,8.2,0.03
NB1,ĐT,"T11,12/23",0.07,,920,6.2,0.45,0.53,0.04,8.5,8.1,
NB1,ĐT,T4/23,0.04,0.003,330,6.4,0.4,0.8,0.03,10.1,8.3,
NB1,ĐT,T6/23,0.05,0.003,210,6.1,0.5,1.1,0.03,8,8.4,
NB1,ĐT,T8/23,0.05,0.003,210,6.1,0.37,0.95,0.09,9.3,8.4,
NB15,CT,T02/23,0.07,,1200,6.1,0.4,1.2,0.03,19.7,7.4,
NB15,CT,T10/23,0.20,,780,6.2,0.5,1.21,0.04,14.2,8.0,0.09
NB15,CT,"T11,12/23",0.22,,680,6.2,0.51,1.06,0.04,14.4,8.2,0.01
NB15,CT,T4/23,0.07,0.003,1300,6.3,0.3,1.2,0.04,18.4,8.2,
NB15,CT,T6/23,0.07,0.002,700,6.2,0.5,1.4,0.04,14.1,8.4,
NB15,CT,T8/23,0.05,0.003,1200,6.2,0.42,0.96,0.02,13.5,8.2,
NB15,ĐT,T02/23,0.04,,400,5.9,0.3,1,0.02,12.9,7.4,
NB15,ĐT,T10/23,0.14,,130,6.1,0.48,1.07,0.02,9.7,8.0,0.02
NB15,ĐT,"T11,12/23",0.12,,450,6.2,0.5,0.52,0.04,9.3,8.2,
NB15,ĐT,T4/23,0.04,0.002,200,6.3,0.4,0.7,0.01,11.4,8.3,
NB15,ĐT,T6/23,0.04,0.003,120,6.6,0.5,1,0.02,9.3,8.4,
NB15,ĐT,T8/23,0.04,0.002,260,6.5,0.45,0.82,0.02,9.7,8.4,
NB16,CT,T02/23,0.05,,280,6.1,0.4,1.1,0.03,24.2,7.4,
NB16,CT,T10/23,0.09,,700,6.2,0.35,1.37,0.05,18.7,8.0,
NB16,CT,"T11,12/23",0.10,,600,6.1,0.36,1.18,0.05,18.1,8.1,0.02
NB16,CT,T4/23,0.06,0.003,800,6.4,0.4,1.3,0.04,20.9,8.1,
NB16,CT,T6/23,0.09,0.003,220,5.4,0.3,1,0.05,18.2,8.1,
NB16,CT,T8/23,0.10,0.003,900,6.0,0.38,0.76,0.05,19.3,8.2,
NB16,ĐT,T02/23,0.03,,170,6.0,0.3,1,0.02,19.1,7.4,
NB16,ĐT,T10/23,0.05,,230,6.1,0.34,1.09,0.05,11.9,8.1,0.02
NB16,ĐT,"T11,12/23",0.07,,230,6.1,0.35,0.54,0.05,10.6,8.2,
NB16,ĐT,T4/23,0.08,0.004,210,6.5,0.4,1.2,0.01,14.3,8.2,
NB16,ĐT,T6/23,0.06,0.002,170,5.8,0.3,1.1,0.03,12.9,8.0,
NB16,ĐT,T8/23,0.06,0.004,170,6.3,0.33,0.75,0.04,13.6,8.2,
NB17,CT,T02/23,0.23,0.003,2100,6.2,0.4,1,0.07,19.8,7.4,
NB17,CT,T10/23,0.08,,920,6.0,0.37,1.19,0.02,11.8,8.1,0.027
NB17,CT,"T11,12/23",0.09,,460,6.3,0.4,1.16,0.02,12.8,8.1,0.0146
NB17,CT,T4/23,0.10,0.003,2200,6.2,0.4,1.1,0.04,12.6,8.1,
NB17,CT,T6/23,0.09,0.003,1200,6.1,0.3,1.3,0.05,11.4,8.4,
NB17,CT,T8/23,0.09,0.003,2600,6.1,0.34,0.86,0.05,18.4,8.3,
NB17,ĐT,T02/23,0.07,0.004,700,6.1,0.3,0.8,0.03,13.5,7.5,
NB17,ĐT,T10/23,0.07,,230,6.2,0.38,1.03,0.01,9.8,8.2,0.032
NB17,ĐT,"T11,12/23",0.07,,170,6.2,0.39,0.52,0.01,9.4,8.2,
NB17,ĐT,T4/23,0.05,0.003,900,6.2,0.4,1,0.03,11.1,8.1,
NB17,ĐT,T6/23,0.07,0.003,500,6.2,0.3,1.3,0.03,9.7,8.4,
NB17,ĐT,T8/23,0.07,0.004,500,6.3,0.33,0.82,0.04,10.3,8.3,
NB19,CT,T02/23,0.42,0.005,1300,6.1,0.4,0.9,0.09,35.2,7.6,
NB19,CT,T10/23,0.14,,1300,6.1,0.34,0.79,0.03,27.2,8.0,0.025
NB19,CT,"T11,12/23",0.14,,930,6.0,0.35,0.76,0.03,25.9,8.0,0.0262
NB19,CT,T4/23,0.14,0.003,1100,6.4,0.4,1.2,0.07,30.2,8.2,
NB19,CT,T6/23,0.10,0.003,900,6.1,0.4,1.4,0.04,27,8.3,
NB19,CT,T8/23,0.17,0.003,1200,6.2,0.37,0.69,0.05,27.4,8.2,
NB19,ĐT,T02/23,0.31,0.004,460,6.1,0.3,0.7,0.06,20.9,7.7,
NB19,ĐT,T10/23,0.11,,400,6.2,0.32,0.98,0.02,17.3,8.2,0.016
NB19,ĐT,"T11,12/23",0.11,,110,6.1,0.34,0.61,0.03,18.2,7.9,0.0098
NB19,ĐT,T4/23,0.06,0.003,600,6.5,0.4,0.9,0.03,18,8.2,
NB19,ĐT,T6/23,0.08,0.003,230,6.1,0.3,1.2,0.02,16.5,8.3,
NB19,ĐT,T8/23,0.08,0.004,500,6.2,0.34,0.69,0.02,16.7,8.3,
NB2,CT,T02/23,0.27,,1200,6.1,0.4,1.1,0.08,20.7,7.8,
NB2,CT,T10/23,0.10,,830,6.0,0.35,1.21,0.04,13.1,8.4,0.02
NB2,CT,"T11,12/23",0.12,,680,6.1,0.38,1.04,0.05,13.9,8.1,0.02
NB2,CT,T4/23,0.09,0.002,1100,6.4,0.3,1.1,0.04,18.5,8.3,
NB2,CT,T6/23,0.19,0.003,230,6.1,0.4,1.4,0.04,13.8,8.2,
