NB,Kí_hiệu,Tide,pH,DO,TSS,NH4,PO4,As,Pb,Dau_mo,Coliform
NB1,T02/24,CT,8.01,6.63,15.5,0.12,0.074,,,0.49,680.0
NB1,T02/24,ĐT,8.09,6.87,13.0,0.081,0.055,,,0.42,230.0
NB1,T4/24,CT,7.85,7.19,17.1,0.12,0.068,,,0.54,780.0
NB1,T4/24,ĐT,8.03,6.19,13.7,0.074,0.047,,,0.43,310.0
NB1,T6/24,CT,7.83,6.17,16.1,0.11,0.071,,,0.47,610.0
NB1,T6/24,ĐT,7.46,6.17,13.8,0.077,0.057,,,0.4,220.0
NB1,T8/24,CT,7.91,5.78,16.4,0.109,0.078,,,0.48,600.0
NB1,T8/24,ĐT,7.95,5.69,14.2,0.079,0.067,,,0.42,240.0
NB1,T10/24,CT,7.78,6.29,17.4,0.116,0.071,,,0.52,630.0
NB1,T10/24,ĐT,7.8,6.33,15.1,0.097,0.069,,,0.41,210.0
NB1,T11/24,CT,8.03,7.08,17.9,0.12,0.058,,,0.47,610.0
NB1,T11/24,ĐT,7.95,6.87,14.8,0.078,0.049,,,0.39,250.0
NB2,T02/24,CT,8.13,7.87,17.3,0.087,0.052,,,0.46,830.0
NB2,T02/24,ĐT,8.22,8.03,12.6,0.056,0.043,,,0.38,370.0
NB2,T4/24,CT,7.83,7.24,17.8,0.081,0.065,,,0.39,580.0
NB2,T4/24,ĐT,7.86,6.27,12.5,0.053,0.044,,,0.36,230.0
NB2,T6/24,CT,8.07,6.31,18.9,0.089,0.059,,,0.48,810.0
NB2,T6/24,ĐT,7.97,7.08,14.3,0.054,0.046,,,0.39,350.0
NB2,T8/24,CT,7.43,6.3,20.5,0.09,0.062,,,0.47,840.0
NB2,T8/24,ĐT,7.81,6.09,16.3,0.052,0.059,,,0.4,410.0
NB2,T10/24,CT,8.08,6.29,21.2,0.076,0.068,,,0.48,790.0
NB2,T10/24,ĐT,8.1,6.39,16.6,0.052,0.065,,,0.37,310.0
NB2,T11/24,CT,8.03,7.09,22.6,0.072,0.041,,,0.43,790.0
NB2,T11/24,ĐT,8.16,7.62,18.1,0.065,0.039,,,0.38,490.0
NB3,T02/24,CT,7.87,7.09,14.5,0.088,0.044,,,0.37,610.0
NB3,T02/24,ĐT,8.02,7.25,10.9,0.057,0.041,,,0.35,200.0
NB3,T4/24,CT,7.94,7.27,15.6,0.083,0.049,,,0.48,630.0
NB3,T4/24,ĐT,8.14,7.06,11.3,0.057,0.042,,,0.38,180.0
NB3,T6/24,CT,7.54,6.52,15.0,0.086,0.053,0.0067,,0.39,580.0
NB3,T6/24,ĐT,7.51,6.11,11.4,0.052,0.044,,,0.36,210.0
NB3,T8/24,CT,7.95,6.17,16.4,0.087,0.06,,,0.41,610.0
NB3,T8/24,ĐT,8.05,6.25,12.8,0.053,0.054,,,0.37,200.0
NB3,T10/24,CT,8.05,6.52,17.0,0.053,0.065,,,0.46,600.0
NB3,T10/24,ĐT,8.07,6.57,11.7,0.045,0.06,,,0.38,220.0
NB3,T11/24,CT,7.97,7.03,16.2,0.054,0.054,,,0.46,580.0
NB3,T11/24,ĐT,8.13,7.21,13.1,0.041,0.052,,,0.44,120.0
NB4,T02/24,CT,7.82,7.85,14.6,0.066,0.037,,,0.39,310.0
NB4,T02/24,ĐT,8.08,8.03,10.3,0.05,0.03,,,0.38,110.0
NB4,T4/24,CT,7.89,7.31,23.7,0.061,0.03,,,0.36,400.0
NB4,T4/24,ĐT,7.98,7.33,14.9,0.056,0.028,,,0.53,230.0
NB4,T6/24,CT,7.46,6.07,13.8,0.071,0.042,0.007,,0.39,350.0
NB4,T6/24,ĐT,7.54,7.02,10.8,0.055,0.036,,,0.34,120.0
NB4,T8/24,CT,7.72,6.04,14.6,0.063,0.045,,,0.4,400.0
NB4,T8/24,ĐT,7.68,6.12,11.3,0.056,0.04,,,0.36,130.0
NB4,T10/24,CT,7.71,6.27,19.3,0.053,0.066,,,0.42,430.0
NB4,T10/24,ĐT,7.75,6.28,13.2,0.044,0.061,,,0.34,120.0
NB4,T11/24,CT,7.72,6.3,20.7,0.08,0.052,,,0.49,330.0
NB4,T11/24,ĐT,7.81,6.31,15.5,0.068,0.047,,,0.37,61.0
NB5,T02/24,CT,7.41,6.63,22.7,0.084,0.033,,,0.4,450.0
NB5,T02/24,ĐT,7.82,6.75,12.1,0.058,0.031,,,0.38,360.0
NB5,T4/24,CT,7.75,7.23,23.4,0.11,0.056,,,0.38,610.0
NB5,T4/24,ĐT,8.08,6.87,14.0,0.056,0.033,,,0.52,340.0
NB5,T6/24,CT,7.46,6.29,21.4,0.091,0.049,0.0073,,0.42,550.0
NB5,T6/24,ĐT,7.59,6.28,14.3,0.061,0.034,,,0.4,310.0
NB5,T8/24,CT,7.68,6.15,23.6,0.093,0.054,,,0.43,540.0
NB5,T8/24,ĐT,7.71,6.15,16.2,0.074,0.048,,,0.41,320.0
NB5,T10/24,CT,7.9,6.68,22.8,0.096,0.055,,,0.44,480.0
NB5,T10/24,ĐT,7.91,6.69,13.9,0.079,0.052,,,0.4,230.0
NB5,T11/24,CT,7.99,6.82,24.1,0.068,0.041,,,0.46,470.0
NB5,T11/24,ĐT,8.04,7.09,17.6,0.057,0.04,,,0.39,170.0
NB6,T02/24,CT,7.81,6.14,24.8,0.095,0.035,,,0.45,680.0
NB6,T02/24,ĐT,8.06,6.41,15.2,0.063,0.032,,,0.39,400.0
NB6,T4/24,CT,7.82,7.17,25.5,0.083,0.05,,,0.41,910.0
NB6,T4/24,ĐT,8.01,7.02,17.6,0.053,0.024,,,0.48,450.0
NB6,T6/24,CT,7.51,6.27,26.1,0.095,0.043,,,0.46,600.0
NB6,T6/24,ĐT,7.6,6.3,17.2,0.055,0.035,,,0.4,360.0
NB6,T8/24,CT,7.81,6.28,28.4,0.094,0.051,,,0.47,630.0
