station,x,y,year,quarter,hsi
NB1,2318587,428692,2026,1,0.8332405157649191
NB1,2318587,428692,2026,2,0.8346316511036906
NB1,2318587,428692,2026,3,0.8175684381903802
NB1,2318587,428692,2026,4,0.8497145918385499
NB2,2319163,428365,2026,1,0.853366751487561
NB2,2319163,428365,2026,2,0.8576814450318924
NB2,2319163,428365,2026,3,0.8244124583946881
NB2,2319163,428365,2026,4,0.8648934727832092
NB3,2320268,427607,2026,1,0.8417575015190522
NB3,2320268,427607,2026,2,0.8436367179824739
NB3,2320268,427607,2026,3,0.8598526459231894
NB3,2320268,427607,2026,4,0.8520288324745489
NB4,2320452,429685,2026,1,0.841553909228843
NB4,2320452,429685,2026,2,0.8337112306893493
NB4,2320452,429685,2026,3,0.8267460472741769
NB4,2320452,429685,2026,4,0.8515262693840778
NB5,2319397,429449,2026,1,0.8199055058480396
NB5,2319397,429449,2026,2,0.8264578050075408
NB5,2319397,429449,2026,3,0.8007728039448274
NB5,2319397,429449,2026,4,0.8328738345053746
NB6,2322158,422550,2026,1,0.8340950791901754
NB6,2322158,422550,2026,2,0.8310780382064294
NB6,2322158,422550,2026,3,0.7858833726686006
NB6,2322158,422550,2026,4,0.7841064066282117
NB8,2324600,433954,2026,1,0.8494480052322573
NB8,2324600,433954,2026,2,0.837976891892799
NB8,2324600,433954,2026,3,0.789967250023663
NB8,2324600,433954,2026,4,0.816439508005842
NB9,2313924,420738,2026,1,0.8093006507518826
NB9,2313924,420738,2026,2,0.8203875613710843
NB9,2313924,420738,2026,3,0.7865789478030056
NB9,2313924,420738,2026,4,0.8276523227914779
NB10,2315155,421276,2026,1,0.8341451906481913
NB10,2315155,421276,2026,2,0.8329249556652115
NB10,2315155,421276,2026,3,0.8076692986362615
NB10,2315155,421276,2026,4,0.8360618730376785
NB11,2316995,413685,2026,1,0.8231076263895911
NB11,2316995,413685,2026,2,0.8358250776643412
NB11,2316995,413685,2026,3,0.8143860688808958
NB11,2316995,413685,2026,4,0.8426229629142521
NB12,2316901,424936,2026,1,0.8018662411822006
NB12,2316901,424936,2026,2,0.8336142603076298
NB12,2316901,424936,2026,3,0.813517676503087
NB12,2316901,424936,2026,4,0.839309619799916
NB13,2316868,426503,2026,1,0.8181842506724969
NB13,2316868,426503,2026,2,0.832304598398623
NB13,2316868,426503,2026,3,0.7940600212916421
NB13,2316868,426503,2026,4,0.8366268762985275
NB14,2317578,422609,2026,1,0.8155012749951567
NB14,2317578,422609,2026,2,0.8284150755212952
NB14,2317578,422609,2026,3,0.8091662657271179
NB14,2317578,422609,2026,4,0.8291973910528467
NB15,2317218,430394,2026,1,0.797628902527038
NB15,2317218,430394,2026,2,0.8120262214423078
NB15,2317218,430394,2026,3,0.7840621675966928
NB15,2317218,430394,2026,4,0.7982842529353577
NB16,2317471,431681,2026,1,0.8079411414835291
NB16,2317471,431681,2026,2,0.8141489710786971
NB16,2317471,431681,2026,3,0.7919255726056795
NB16,2317471,431681,2026,4,0.8154805236032505
NB17,2317257,432137,2026,1,0.8025875048039403
NB17,2317257,432137,2026,2,0.8350127535187282
NB17,2317257,432137,2026,3,0.8236540750292672
NB17,2317257,432137,2026,4,0.8378554656467945
NB18,2316544,435609,2026,1,0.8075657890174771
NB18,2316544,435609,2026,2,0.8238886814343773
NB18,2316544,435609,2026,3,0.8449029391002358
NB18,2316544,435609,2026,4,0.8365876765360589
NB19,2316498,443279,2026,1,0.8258589598928034
NB19,2316498,443279,2026,2,0.8157341936781926
NB19,2316498,443279,2026,3,0.8309404492408689
NB19,2316498,443279,2026,4,0.8407350141044226
NB20,2322174,447656,2026,1,0.8526719339902602
NB20,2322174,447656,2026,2,0.8358039021989485
NB20,2322174,447656,2026,3,0.8322403142160815
NB20,2322174,447656,2026,4,0.8432967395103343
NB21,2321985,452827,2026,1,0.8429893566245834
NB21,2321985,452827,2026,2,0.8317801699358194
NB21,2321985,452827,2026,3,0.8288835946139104
NB21,2321985,452827,2026,4,0.8470861267927589
NB22,2322430,458154,2026,1,0.8328313250505218
NB22,2322430,458154,2026,2,0.8211125866341001
NB22,2322430,458154,2026,3,0.8234617963813168
NB22,2322430,458154,2026,4,0.838691294852438
NB23,2323792,459817,2026,1,0.8408404961225593
NB23,2323792,459817,2026,2,0.8197460628280062
NB23,2323792,459817,2026,3,0.8031147782648752
NB23,2323792,459817,2026,4,0.8336864152932757
NB24,2326075,460842,2026,1,0.8580669020065109
NB24,2326075,460842,2026,2,0.8450937579774696
NB24,2326075,460842,2026,3,0.8415689338829895
NB24,2326075,460842,2026,4,0.831626023195583
NB25,2329585,466608,2026,1,0.8290546514999948
NB25,2329585,466608,2026,2,0.8421134132798855
NB25,2329585,466608,2026,3,0.7922308700453986
NB25,2329585,466608,2026,4,0.8236918591386193
NB26,2321486,455510,2026,1,0.8327144135722385
NB26,2321486,455510,2026,2,0.8426045905971357
NB26,2321486,455510,2026,3,0.8415672562101391
NB26,2321486,455510,2026,4,0.8459605900329382
NB27,2330880,459989,2026,1,0.8284192395011389
NB27,2330880,459989,2026,2,0.8497909794180931
NB27,2330880,459989,2026,3,0.8239830337967016
NB27,2330880,459989,2026,4,0.8450932049165567
NB28,2333357,460436,2026,1,0.8489903365838108
NB28,2333357,460436,2026,2,0.8381147453249044
NB28,2333357,460436,2026,3,0.8384342699084829
NB28,2333357,460436,2026,4,0.8322504148327667
NB29,2334332,462783,2026,1,0.8519472597624403
NB29,2334332,462783,2026,2,0.8426779616644122
NB29,2334332,462783,2026,3,0.8546572193981525
NB29,2334332,462783,2026,4,0.8393861491169036
NB30,2327079,463665,2026,1,0.8315743334526056
NB30,2327079,463665,2026,2,0.8267531274644814
NB30,2327079,463665,2026,3,0.8357488223192437
NB30,2327079,463665,2026,4,0.8182214219574877
NB31,2331339,470234,2026,1,0.840022653031939
NB31,2331339,470234,2026,2,0.8349721465379311
NB31,2331339,470234,2026,3,0.8158346680680871
NB31,2331339,470234,2026,4,0.8649429522210662
NB32,2346140,480817,2026,1,0.8552601417949385
NB32,2346140,480817,2026,2,0.8475694777719909
NB32,2346140,480817,2026,3,0.8235024881845916
NB32,2346140,480817,2026,4,0.8345796554772725
NB33,2313396,423810,2026,1,0.8260793984180363
NB33,2313396,423810,2026,2,0.820844356190355
NB33,2313396,423810,2026,3,0.8250762615081528
NB33,2313396,423810,2026,4,0.8383436614361515
NB34,2307445,430246,2026,1,0.8371937989164533
NB34,2307445,430246,2026,2,0.8397333961616582
NB34,2307445,430246,2026,3,0.8232187234574292
NB34,2307445,430246,2026,4,0.8460459967493653
NB35,2307219,430996,2026,1,0.8337509482151999
NB35,2307219,430996,2026,2,0.8338254118426175
NB35,2307219,430996,2026,3,0.8272557402339353
NB35,2307219,430996,2026,4,0.8268258745242779
NB36,2306977,431601,2026,1,0.8385558558182481
NB36,2306977,431601,2026,2,0.8341560704268964
NB36,2306977,431601,2026,3,0.8206740546340588
NB36,2306977,431601,2026,4,0.8420977609315627
NB37,2305988,431059,2026,1,0.8559800547597309
NB37,2305988,431059,2026,2,0.8557371792895332
NB37,2305988,431059,2026,3,0.8472363590678123
NB37,2305988,431059,2026,4,0.8494563484805356
NB38,2304145,430616,2026,1,0.8461437577600203
NB38,2304145,430616,2026,2,0.8464071011752186
NB38,2304145,430616,2026,3,0.8516367986276527
NB38,2304145,430616,2026,4,0.8582953322701716
NB39,2309402,433983,2026,1,0.8069835284492001
