station,x,y,year,quarter,hsi
NB1,2318587,428692,2026,1,0.8091259247413449
NB1,2318587,428692,2026,2,0.8188642106809422
NB1,2318587,428692,2026,3,0.7952814428108527
NB1,2318587,428692,2026,4,0.7974509482069128
NB2,2319163,428365,2026,1,0.8079854380173066
NB2,2319163,428365,2026,2,0.8169116199533455
NB2,2319163,428365,2026,3,0.7943462197583138
NB2,2319163,428365,2026,4,0.7819271377984597
NB3,2320268,427607,2026,1,0.8090451793808023
NB3,2320268,427607,2026,2,0.7970129347923723
NB3,2320268,427607,2026,3,0.7906745438570203
NB3,2320268,427607,2026,4,0.7822893683769298
NB4,2320452,429685,2026,1,0.8123424958205238
NB4,2320452,429685,2026,2,0.7968377942955122
NB4,2320452,429685,2026,3,0.8095154928279964
NB4,2320452,429685,2026,4,0.7988164038871244
NB5,2319397,429449,2026,1,0.8027204957741592
NB5,2319397,429449,2026,2,0.8339948912615267
NB5,2319397,429449,2026,3,0.8121075204121879
NB5,2319397,429449,2026,4,0.8014284889203264
NB6,2322158,422550,2026,1,0.8092793020584341
NB6,2322158,422550,2026,2,0.8002745093071771
NB6,2322158,422550,2026,3,0.7874611071142817
NB6,2322158,422550,2026,4,0.77539236158748
NB8,2324600,433954,2026,1,0.8135475485968792
NB8,2324600,433954,2026,2,0.8023269838235916
NB8,2324600,433954,2026,3,0.762227561181349
NB8,2324600,433954,2026,4,0.7820203687583329
NB9,2313924,420738,2026,1,0.7925753265245197
NB9,2313924,420738,2026,2,0.7836060232559405
NB9,2313924,420738,2026,3,0.7928765506901095
NB9,2313924,420738,2026,4,0.7728966648393233
NB10,2315155,421276,2026,1,0.8237294511338602
NB10,2315155,421276,2026,2,0.8058108832284715
NB10,2315155,421276,2026,3,0.7701977169225551
NB10,2315155,421276,2026,4,0.8004510195978607
NB11,2316995,413685,2026,1,0.7953780954948346
NB11,2316995,413685,2026,2,0.7796956422104036
NB11,2316995,413685,2026,3,0.7732046498791885
NB11,2316995,413685,2026,4,0.807587453227484
NB12,2316901,424936,2026,1,0.7804556020600721
NB12,2316901,424936,2026,2,0.8162956880918937
NB12,2316901,424936,2026,3,0.787084404885148
NB12,2316901,424936,2026,4,0.805545696451057
NB13,2316868,426503,2026,1,0.8050540962984536
NB13,2316868,426503,2026,2,0.7924536312784922
NB13,2316868,426503,2026,3,0.8167931563362169
NB13,2316868,426503,2026,4,0.8010152781359757
NB14,2317578,422609,2026,1,0.7898248361311341
NB14,2317578,422609,2026,2,0.792315073425149
NB14,2317578,422609,2026,3,0.7764426374019038
NB14,2317578,422609,2026,4,0.8074746281328844
NB15,2317218,430394,2026,1,0.7791771866952317
NB15,2317218,430394,2026,2,0.811672744241194
NB15,2317218,430394,2026,3,0.7805609223600477
NB15,2317218,430394,2026,4,0.7821191937667706
NB16,2317471,431681,2026,1,0.789934126169576
NB16,2317471,431681,2026,2,0.7945527749635062
NB16,2317471,431681,2026,3,0.7901962187121312
NB16,2317471,431681,2026,4,0.7689159414685666
NB17,2317257,432137,2026,1,0.7806013409544574
NB17,2317257,432137,2026,2,0.7962043202561715
NB17,2317257,432137,2026,3,0.7760889724458988
NB17,2317257,432137,2026,4,0.8095617213223983
NB18,2316544,435609,2026,1,0.7710071179948732
NB18,2316544,435609,2026,2,0.7909611902562375
NB18,2316544,435609,2026,3,0.7857480397857289
NB18,2316544,435609,2026,4,0.8094257739730335
NB19,2316498,443279,2026,1,0.7914114376682431
NB19,2316498,443279,2026,2,0.808231051117323
NB19,2316498,443279,2026,3,0.8130098410718297
NB19,2316498,443279,2026,4,0.7927202330408758
NB20,2322174,447656,2026,1,0.8208128674070441
NB20,2322174,447656,2026,2,0.8082571221640489
NB20,2322174,447656,2026,3,0.7970293862787525
NB20,2322174,447656,2026,4,0.8142458067748812
NB21,2321985,452827,2026,1,0.8156907702324292
NB21,2321985,452827,2026,2,0.804968664741215
NB21,2321985,452827,2026,3,0.8169656764376567
NB21,2321985,452827,2026,4,0.8017203300609987
NB22,2322430,458154,2026,1,0.8083476245836703
NB22,2322430,458154,2026,2,0.8044291299365367
NB22,2322430,458154,2026,3,0.8097137695451997
NB22,2322430,458154,2026,4,0.8029610032584692
NB23,2323792,459817,2026,1,0.8313052852559292
NB23,2323792,459817,2026,2,0.7910430087402197
NB23,2323792,459817,2026,3,0.7866973876368377
NB23,2323792,459817,2026,4,0.7714924854824252
NB24,2326075,460842,2026,1,0.8209033801101226
NB24,2326075,460842,2026,2,0.8120443282786679
NB24,2326075,460842,2026,3,0.8240278704328119
NB24,2326075,460842,2026,4,0.8020715798086409
NB25,2329585,466608,2026,1,0.806408214054563
NB25,2329585,466608,2026,2,0.828186128710319
NB25,2329585,466608,2026,3,0.7995690812352335
NB25,2329585,466608,2026,4,0.796212282769741
NB26,2321486,455510,2026,1,0.7971811660256353
NB26,2321486,455510,2026,2,0.8083833222307094
NB26,2321486,455510,2026,3,0.8026844755634077
NB26,2321486,455510,2026,4,0.8271890899918507
NB27,2330880,459989,2026,1,0.8101101328618631
NB27,2330880,459989,2026,2,0.8141463585801733
NB27,2330880,459989,2026,3,0.8020663763592669
NB27,2330880,459989,2026,4,0.8168437130528092
NB28,2333357,460436,2026,1,0.810648509003354
NB28,2333357,460436,2026,2,0.8015887969499376
