Vị trí quan trắc,KHM,Quý,Nhiệt độ,pH,DO,Độ muối,Độ đục,Độ trong,TSS,Amoni,Phosphat,Tổng xianua,Florua,"Tổng dầu, mỡ khoáng",Coliform,As,Hg,Pb,Cd,Fe,Mn,Cu,Zn,Cr,Cr(VI),Tổng phenol,Aldrin,BHC,Dieldrin,DDTs,Heptachlor & Heptachloreproxide
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 1 2021,22.0,7.79,7.4,29.6,8.79,1.4,7.8,0.015,0.01,0.0005,0.73,0.15,1.5,0.0022,0.00025,0.001,0.0001,0.0295,0.0016,0.00045,0.0161,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 2 2021,30.2,8.08,6.95,29.6,7.84,1.45,6.9,0.055,0.01,0.0005,0.82,0.15,1.5,0.0026,0.00025,0.00045,0.0001,0.2551,0.0091,0.0019,0.0115,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 3 2021,32.4,8.1,6.25,27.6,7.45,1.4,6.9,0.076,0.01,0.0005,0.632,0.15,1.5,0.0019,0.00025,0.00045,0.0001,0.1131,0.0052,0.00045,0.0089,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 4 2021,25.0,8.07,6.83,29.7,10.98,1.5,9.5,0.044,0.01,0.0005,0.794,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.0616,0.0076,0.00045,0.0147,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 1 2022,22.0,8.12,6.48,29.8,9.45,1.2,8.5,0.042,0.01,0.0005,0.725,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0226,0.0004,0.00045,0.0131,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 2 2022,23.1,8.1,5.44,29.7,9.76,1.0,8.8,0.057,0.01,0.0005,0.713,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.1406,0.0122,0.00045,0.0148,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 3 2022,28.6,8.08,5.66,29.5,9.96,0.9,9.2,0.063,0.01,0.0005,0.687,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0863,0.0095,0.00045,0.0151,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 4 2022,26.2,8.07,5.62,29.4,10.15,0.8,9.3,0.063,0.01,0.0005,0.785,0.15,1.5,0.0014,0.00025,0.00045,0.0001,0.0894,0.0138,0.00045,0.0167,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 1 2023,22.6,8.09,6.41,29.9,9.45,1.0,8.5,0.047,0.01,0.0005,0.796,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.1129,0.0108,0.00045,0.0142,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 2 2023,24.4,8.05,5.38,29.5,9.97,0.9,7.5,0.067,0.01,0.0005,0.81,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0876,0.0139,0.00045,0.0127,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 3 2023,27.2,8.1,5.94,29.3,10.11,0.8,8.5,0.047,0.01,0.0005,0.759,0.15,1.5,0.0014,0.00025,0.00045,0.0001,0.0998,0.0117,0.00045,0.0144,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 4 2023,24.8,8.08,6.01,29.4,9.95,0.9,7.5,0.064,0.01,0.0005,0.785,0.15,1.5,0.0014,0.00025,0.00045,0.0001,0.1037,0.0098,0.00045,0.0112,0.00045,0.0025,0.002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 1 2024,20.0,8.08,6.33,29.8,9.52,1.0,8.3,0.071,0.01,0.0015,0.794,0.15,1.0,0.0006,0.0001,0.0001,0.0001,0.134,0.009,0.0005,0.0108,0.0004,0.0035,0.0002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 2 2024,24.2,8.04,5.46,29.4,9.85,0.8,7.5,0.057,0.01,0.0015,0.797,0.15,1.0,0.0014,0.0001,0.0001,0.0001,0.0996,0.0072,0.0005,0.0098,0.0006,0.0035,0.0002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 3 2024,26.5,8.05,6.06,29.2,10.18,0.8,8.2,0.041,0.035,0.0015,0.82,0.15,1.0,0.0021,0.0001,0.0001,0.0001,0.1803,0.00015,0.00015,0.0422,0.0001,0.0035,0.0002,x,x,x,x,x
Luồng vào cảng Cái Lân tại cầu Bãi Cháy,NB1,Quý 4 2024,23.6,8.1,6.17,29.3,9.56,1.0,7.1,0.01,0.01,0.0015,0.813,0.15,1.0,0.002,0.0001,0.0001,0.0001,0.1635,0.0086,0.0016,0.0371,0.0003,0.0035,0.0002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 1 2021,22.4,8.02,6.63,29.6,9.68,1.0,8.7,0.015,0.01,0.0005,0.668,0.15,1.5,0.0011,0.00025,0.00045,0.0001,0.0207,0.0004,0.00045,0.0122,0.00045,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 2 2021,30.5,8.05,6.22,29.3,8.68,1.5,8.2,0.015,0.01,0.0005,0.777,0.15,1.5,0.0045,0.00025,0.00045,0.0001,0.056,0.0082,0.0011,0.0064,0.002,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 3 2021,31.7,8.01,6.16,27.7,9.1,1.2,8.2,0.015,0.01,0.0005,0.836,0.15,1.5,0.0025,0.00025,0.00045,0.0001,0.0697,0.0064,0.00045,0.0077,0.001,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 4 2021,25.2,8.03,6.28,29.4,9.26,1.4,8.7,0.015,0.01,0.0005,0.761,0.15,1.5,0.0033,0.00025,0.00045,0.0001,0.0398,0.0067,0.00045,0.0078,0.00045,0.0025,0.002,x,x,x,x,x
Cảng B12- vịnh Cửa Lục,NB2,Quý 1 2022,22.3,8.05,6.18,29.3,9.14,1.5,8.1,0.015,0.01,0.0005,0.667,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.0165,0.0004,0.00045,0.0093,0.00045,0.0025,0.002,x,x,x,x,x
