Station,Station_Name,Quarter,DO,Temperature,pH,Salinity,NH3,PO4,TSS,Coliform,Transparency,COD,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,X,Y,H2S,BOD5,Alkalinity
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2021-01-01,7.4,22.0,7.79,29.6,0.015,0.01,7.8,1.5,1.4,90.08274863916556,0.0005,0.0022,0.0001,0.001,0.00045,0.00025,0.0161,0.00045,2318587,428692,0.0418303724667756,36.07595697471945,132.18868319017724
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2021-04-01,6.95,30.2,8.08,29.6,0.055,0.01,6.9,1.5,1.45,39.85698381561589,0.0005,0.0026,0.0001,0.00045,0.0019,0.00025,0.0115,0.00045,2318587,428692,0.0256836114742254,18.80679389271855,78.40063575038018
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2021-07-01,6.25,32.4,8.1,27.6,0.076,0.01,6.9,1.5,1.4,118.03996448466908,0.0005,0.0019,0.0001,0.00045,0.00045,0.00025,0.0089,0.00045,2318587,428692,0.0491710903453906,44.77061029075252,150.01804783225828
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2021-10-01,6.83,25.0,8.07,29.7,0.044,0.01,9.5,1.5,1.5,132.46370546807626,0.0005,0.0018,0.0001,0.00045,0.00045,0.00025,0.0147,0.00045,2318587,428692,0.0526816184971692,49.08963286025919,157.62258865564854
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2022-01-01,6.48,22.0,8.12,29.8,0.042,0.01,8.5,1.5,1.2,22.938882499040755,0.0005,0.0016,0.0001,0.00045,0.00045,0.00025,0.0131,0.00045,2318587,428692,0.0184558869081236,12.09607708562535,41.95859245384655
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2022-04-01,5.44,23.1,8.1,29.7,0.057,0.01,8.8,1.5,1.0,33.99799409468236,0.0005,0.0018,0.0001,0.00045,0.00045,0.00025,0.0148,0.00045,2318587,428692,0.0233534744218188,16.56353955283251,67.91281972550728
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2022-07-01,5.66,28.6,8.08,29.5,0.063,0.01,9.2,1.5,0.9,80.92073565713092,0.0005,0.0016,0.0001,0.00045,0.00045,0.00025,0.0151,0.00045,2318587,428692,0.0392308492140222,33.113562447486856,125.1136161266914
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2022-10-01,5.62,26.2,8.07,29.4,0.063,0.01,9.3,1.5,0.8,61.81689915292046,0.0005,0.0014,0.0001,0.00045,0.00045,0.00025,0.0167,0.00045,2318587,428692,0.0333940973741629,26.70411074139367,107.35029630625672
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2023-01-01,6.41,22.6,8.09,29.9,0.047,0.01,8.5,1.5,1.0,74.12545573067025,0.0005,0.0018,0.0001,0.00045,0.00045,0.00025,0.0142,0.00045,2318587,428692,0.0372256081218545,30.87277669054744,119.32795369982844
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2023-04-01,5.38,24.4,8.05,29.5,0.067,0.01,7.5,1.5,0.9,44.64126947115145,0.0005,0.0016,0.0001,0.00045,0.00045,0.00025,0.0127,0.00045,2318587,428692,0.0274856146807398,20.589410644117567,85.8782428970568
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2023-07-01,5.94,27.2,8.1,29.3,0.047,0.01,8.5,1.5,0.8,127.6404059940832,0.0005,0.0014,0.0001,0.00045,0.00045,0.00025,0.0144,0.00045,2318587,428692,0.0515256276816242,47.65640785461272,155.17591899451315
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2023-10-01,6.01,24.8,8.08,29.4,0.064,0.01,7.5,1.5,0.9,120.01332278468092,0.0005,0.0014,0.0001,0.00045,0.00045,0.00025,0.0112,0.00045,2318587,428692,0.0496611673786069,45.36752196036746,151.11167741715792
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2024-01-01,6.33,20.0,8.08,29.8,0.071,0.01,8.3,1.0,1.0,77.94383500295642,0.0015,0.0006,0.0001,0.0001,0.0005,0.0001,0.0108,0.0004,2318587,428692,0.0383610603209874,32.13676496986624,122.64122790244863
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2024-04-01,5.46,24.2,8.04,29.4,0.057,0.01,7.5,1.0,0.8,148.3404394555633,0.0015,0.0014,0.0001,0.0001,0.0005,0.0001,0.0098,0.0006,2318587,428692,0.056372452787102,53.73576781547737,165.0896482787213
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2024-07-01,6.06,26.5,8.05,29.2,0.041,0.035,8.2,1.0,0.8,99.42925815482369,0.0015,0.0021,0.0001,0.0001,0.00015,0.0001,0.0422,0.0001,2318587,428692,0.0443748589276796,39.03612363381538,138.70037369008182
NB1,Luồng vào cảng Cái Lân tại cầu Bãi Cháy,2024-10-01,6.17,23.6,8.1,29.3,0.01,0.01,7.1,1.0,1.0,44.4724378956038,0.0015,0.002,0.0001,0.0001,0.0016,0.0001,0.0371,0.0003,2318587,428692,0.0274233874422838,20.527181673829183,85.62830148467047
NB2,Cảng B12- vịnh Cửa Lục,2021-01-01,6.63,22.4,8.02,29.6,0.015,0.01,8.7,1.5,1.0,93.64948383520291,0.0005,0.0011,0.0001,0.00045,0.00045,0.00025,0.0122,0.00045,2319163,428365,0.042813348165526,37.21255610479932,134.75003136329997
NB2,Cảng B12- vịnh Cửa Lục,2021-04-01,6.22,30.5,8.05,29.3,0.015,0.01,8.2,1.5,1.5,41.86615947351395,0.0005,0.0045,0.0001,0.00045,0.0011,0.00025,0.0064,0.002,2319163,428365,0.0264504037062753,19.560375734403497,81.64469596684005
