maHieu,X,Y
NB1,2318587,428692
NB2,2319163,428365
NB3,2320268,427607
NB4,2320452,429685
NB5,2319397,429449
NB6,2322158,422550
NB8,2324600,433954
NB9,2313924,420738
NB10,2315155,421276
NB11,2316995,413685
NB12,2316901,424936
NB13,2316868,426503
NB14,2317578,422609
NB15,2317218,430394
NB16,2317471,431681
NB17,2317257,432137
NB18,2316544,435609
NB19,2316498,443279
NB20,2322174,447656
NB21,2321985,452827
NB22,2322430,458154
NB23,2323792,459817
NB24,2326075,460842
NB25,2329585,466608
NB26,2321486,455510
NB27,2330880,459989
NB28,2333357,460436
NB29,2334332,462783
NB30,2327079,463665
NB31,2331339,470234
NB32,2346140,480817
NB33,2313396,423810
NB34,2307445,430246
NB35,2307219,430996
NB36,2306977,431601
NB37,2305988,431059
NB38,2304145,430616
NB39,2309402,433983
NB40,2312233,423638
NB41,2309195,425079
NB42,2301526,434156
NB43,2296143,437139
NB44,2305622,438613
NB45,2306077,451136
NB46,2334825,472577
NB47,2316823,479287
NB48,2311631,475997
NB49,2308150,473396
NB50,2301554,459059
NB51,2306441,428888
NB52,2308114,431758
NB53,2299562,437380
NB54,2299151,443343
NB55,2306115,446899
NB56,2305453,452834
NB57,2313052,449812
NB58,2319421,458021
NB59,2322828,469833
NB60,2319552,480158
NB61,2314890,456306
NB62,2316094,465215
NB63,2316643,468221
NB64,2317955,471418
NB65,2314090,474853
NB66,2323246,478861
NB67,2332924,481604
NB68,2325763,474553
NB69,2310803,454256
NB7,2325055,427799
NB70,2305149,458041
NB71,2305248,403881
NB72,2307350,407776
NB73,2315467,409808
NB74,2142967,461852
NB75,2352748,464214
NB76,2354602,469532
NB77,2349384,482845
NB78,2157972,487264
NB79,2361229,492995
NB80,2362684,497074
NB81,2364428,499994
NB82,2359689,500633
NB83,2356931,499505
NB84,2362922,508334
NB85,2374296,507087
NB86,2378235,515563
NB87,2369213,521009
NB88,2379574,529701
NB89,2375900,528808
NB90,2319575,501050
NB91,2317783,498813
NB92,2323555,501698
NB93,2321580,498778
NB94,2328260,501917
NB95,2326638,502012
NB96,2327640,503181
NB97,2327497,501058
NB98,2323023,505543
NB99,2321546,505635
