"Water Control Zone","Station","Dates","Sample No","Depth","Volatile Suspended Solids (mg/L)","Unionised Ammonia (mg/L)","Turbidity (NTU)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Inorganic Nitrogen (mg/L)","Temperature (°C)","Suspended Solids (mg/L)","Silica (mg/L)","Secchi Disc Depth (M)","Salinity (psu)","Phaeo-pigments (μg/L)","pH","Orthophosphate Phosphorus (mg/L)","Nitrite Nitrogen (mg/L)","Nitrate Nitrogen (mg/L)","Faecal Coliforms (cfu/100mL)","E. coli (cfu/100mL)","Dissolved Oxygen (mg/L)","Dissolved Oxygen (%saturation)","Chlorophyll-a (μg/L)","Ammonia Nitrogen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Eastern Buffer","EM1","1986-01-16","1","Surface Water","N/A","N/A","1.2","N/A","N/A","N/A","N/A","16.3","N/A","N/A","N/A","33","N/A","N/A","N/A","N/A","N/A","160","160","N/A","80","N/A","N/A","N/A"
"Eastern Buffer","EM1","1986-01-16","1","Middle Water","N/A","N/A","1.4","0.06","N/A","0.1","N/A","16.1","42","N/A","N/A","33","N/A","8.2","N/A","N/A","N/A","200","200","N/A","86","2.1","N/A","0.7"
"Eastern Buffer","EM1","1986-01-16","1","Bottom Water","N/A","N/A","1.8","N/A","N/A","N/A","N/A","16.1","N/A","N/A","N/A","33","N/A","N/A","N/A","N/A","N/A","240","240","N/A","85","N/A","N/A","N/A"
"Eastern Buffer","EM1","1986-04-11","1","Surface Water","N/A","0.006","1.9","0.08","0.72","0.68","0.21","19.1","1.5","0.49","2.5","33.8","<0.2","8.1","0.039","0.013","0.03","100","80","4.9","66","2","0.169","0.3"
"Eastern Buffer","EM1","1986-04-11","1","Bottom Water","N/A","0.004","9","0.15","0.85","0.82","0.13","19.6","31","0.37","2.5","34","0.3","8.2","0.02","0.007","0.02","40","40","5.7","76","0.8","0.1","0.2"
"Eastern Buffer","EM1","1986-05-12","1","Surface Water","N/A","0.01","3.3","0.07","0.62","0.55","0.32","24.5","4","0.85","2.2","30.6","0.9","8","0.05","0.014","0.052","2900","2800","4.8","69","1.3","0.25","1"
"Eastern Buffer","EM1","1986-05-12","1","Bottom Water","N/A","0.006","1.2","0.02","0.27","0.25","0.14","24.6","1.5","0.36","2.2","33.5","0.8","8.1","0.02","0.006","0.018","300","270","6","84","0.6","0.119","0.5"
"Eastern Buffer","EM1","1986-06-09","1","Surface Water","N/A","N/A","1","N/A","N/A","N/A","N/A","25.8","N/A","N/A","3.5","32.2","N/A","N/A","N/A","N/A","N/A","1700","1400","5.9","87","N/A","N/A","N/A"
"Eastern Buffer","EM1","1986-06-09","1","Middle Water","N/A","0.001","1.1","0.02","0.6","0.58","0.05","25.8","2","0.31","3.5","32.2","<0.2","8.1","0.01","0.01","0.011","N/A","N/A","5.9","87","2","0.025","0.4"
"Eastern Buffer","EM1","1986-06-09","1","Bottom Water","N/A","N/A","1.1","N/A","N/A","N/A","N/A","25.7","N/A","N/A","3.5","32.3","N/A","N/A","N/A","N/A","N/A","94","62","5.5","80","N/A","N/A","N/A"
"Eastern Buffer","EM1","1986-07-07","1","Surface Water","N/A","0.026","3.1","0.09","1.52","1.4","0.5","26.5","3.5","1.3","1.8","23.9","7.1","8.1","0.039","0.028","0.092","3500","3500","4.6","66","14","0.38","2.3"
"Eastern Buffer","EM1","1986-07-07","1","Middle Water","N/A","0.003","1.9","0.05","0.92","0.83","0.17","23.2","2","0.98","1.8","30.7","2.4","8","0.02","0.031","0.055","N/A","N/A","4.3","60","5","0.079","0.6"
"Eastern Buffer","EM1","1986-07-07","1","Bottom Water","N/A","0.003","2.4","0.08","0.4","0.32","0.15","22.6","1.5","1.3","1.8","30.8","3.6","8","0.02","0.031","0.052","2400","2400","4.2","59","6.3","0.069","0.6"
"Eastern Buffer","EM1","1986-08-04","1","Surface Water","N/A","0.002","3.4","0.08","0.74","0.71","0.05","26.4","2.5","0.11","2","30.3","5.7","8.3","0.02","0.01","0.018","1400","1300","8.1","115","6.6","0.022","3.1"
"Eastern Buffer","EM1","1986-08-04","1","Middle Water","N/A","0.001","4.5","0.08","0.78","0.74","0.06","26.1","3.5","0.11","2","31","3","8.2","0.029","0.013","0.024","N/A","N/A","6.9","97","5.6","0.02","2.2"
"Eastern Buffer","EM1","1986-08-04","1","Bottom Water","N/A","0.014","4.1","0.09","0.7","0.65","0.27","25.2","5.5","0.17","2","31.3","9.2","8.2","0.029","0.017","0.029","2400","2400","5.1","71","22","0.22","2"
"Eastern Buffer","EM1","1986-09-01","1","Surface Water","N/A","0.013","3.4","0.06","0.84","0.78","0.35","29.5","1","0.31","1.9","30.8","2.7","7.9","0.05","0.029","0.031","7800","7600","3.4","54","10","0.289","1"
"Eastern Buffer","EM1","1986-09-01","1","Middle Water","1.5","0.01","5","0.06","0.64","0.58","0.31","28.6","8","0.85","1.9","32.1","0.5","7.8","0.039","0.033","0.022","N/A","N/A","2.8","44","2.7","0.25","0.5"
