"Water Control Zone","Station","Dates","Sample No","Depth","Volatile Suspended Solids (mg/L)","Unionised Ammonia (mg/L)","Turbidity (NTU)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Inorganic Nitrogen (mg/L)","Temperature (°C)","Suspended Solids (mg/L)","Silica (mg/L)","Secchi Disc Depth (M)","Salinity (psu)","Phaeo-pigments (μg/L)","pH","Orthophosphate Phosphorus (mg/L)","Nitrite Nitrogen (mg/L)","Nitrate Nitrogen (mg/L)","Faecal Coliforms (cfu/100mL)","E. coli (cfu/100mL)","Dissolved Oxygen (mg/L)","Dissolved Oxygen (%saturation)","Chlorophyll-a (μg/L)","Ammonia Nitrogen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Junk Bay","JM3","1986-01-16","1","Surface Water","N/A","N/A","1.6","N/A","N/A","N/A","N/A","16.5","N/A","N/A","N/A","32.8","N/A","N/A","N/A","N/A","N/A","80","80","N/A","73","N/A","N/A","N/A"
"Junk Bay","JM3","1986-01-16","1","Middle Water","N/A","N/A","1.3","0.06","N/A","0.4","N/A","16.5","43","N/A","N/A","32.9","N/A","8.1","N/A","N/A","N/A","70","70","N/A","74","7.3","N/A","1.3"
"Junk Bay","JM3","1986-01-16","1","Bottom Water","N/A","N/A","1.5","N/A","N/A","N/A","N/A","16.2","N/A","N/A","N/A","32.9","N/A","N/A","N/A","N/A","N/A","250","250","N/A","82","N/A","N/A","N/A"
"Junk Bay","JM3","1986-07-07","1","Surface Water","1.5","0.024","4.8","0.06","0.72","0.66","0.22","27.1","5","N/A","1.6","24.7","9.3","8.5","<0.01","0.013","0.042","170","130","9.2","136","18","0.16","3.4"
"Junk Bay","JM3","1986-07-07","1","Middle Water","1.5","0.001","2.5","0.06","0.72","0.64","0.08","22.5","3.5","1.1","1.6","32.3","3.7","8.2","0.01","0.03","0.046","N/A","N/A","4","56","8.6","0.006","0.7"
"Junk Bay","JM3","1986-07-07","1","Bottom Water","0.5","N/A","2.3","0.05","1.67","1.6","N/A","22.2","2","1","1.6","33.7","<0.2","8.2","0.01","0.031","0.037","130","130","4.4","60","1","N/A","0.3"
"Junk Bay","JM3","1986-08-04","1","Surface Water","0.5","0.013","2","0.04","0.56","0.52","0.16","29","1.5","0.11","N/A","30.2","3.4","8.3","<0.01","0.009","0.03","<1","<1","9.1","134","8.4","0.119","1.5"
"Junk Bay","JM3","1986-08-04","1","Middle Water","0.5","0.014","3.2","0.04","0.65","0.61","0.17","28.4","2","0.16","N/A","30.3","4.5","8.3","0.01","0.01","0.028","N/A","N/A","8.5","126","6.5","0.13","1.4"
"Junk Bay","JM3","1986-08-04","1","Bottom Water","<0.5","0.003","1.6","0.04","0.53","0.52","0.05","24.3","1.5","0.09","N/A","30.6","3.9","8.3","<0.01","0.005","0.008","33","27","4.3","58","4.8","0.037","1.3"
"Junk Bay","JM3","1986-09-01","1","Surface Water","2","0.018","1.6","0.04","0.79","0.73","0.37","29.6","2","0.07","2.2","31.6","15","8","0.01","0.024","0.038","2","2","5.8","91","5.9","0.309","0.4"
"Junk Bay","JM3","1986-09-01","1","Middle Water","1","0.014","1.6","0.06","2.04","2","0.29","28.9","1.5","0.14","2.2","32.2","8.1","8","<0.01","0.02","0.024","N/A","N/A","3.1","48","5.3","0.25","1.2"
