"Water Control Zone","Station","Dates","Sample No","Depth","Volatile Suspended Solids (mg/L)","Unionised Ammonia (mg/L)","Turbidity (NTU)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Inorganic Nitrogen (mg/L)","Temperature (°C)","Suspended Solids (mg/L)","Silica (mg/L)","Secchi Disc Depth (M)","Salinity (psu)","Phaeo-pigments (μg/L)","pH","Orthophosphate Phosphorus (mg/L)","Nitrite Nitrogen (mg/L)","Nitrate Nitrogen (mg/L)","Faecal Coliforms (cfu/100mL)","E. coli (cfu/100mL)","Dissolved Oxygen (mg/L)","Dissolved Oxygen (%saturation)","Chlorophyll-a (μg/L)","Ammonia Nitrogen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Mirs Bay","MM1","1991-01-29","1","Surface Water","1.5","0.004","4.1","0.03","0.6","0.6","0.1","17.3","2.5","0.38","1.5","32.5","3.1","8.2","0.01","<0.002","<0.002","90","80","8.6","109","3.5","0.097","2"
"Mirs Bay","MM1","1991-01-29","1","Middle Water","0.5","0.004","3.8","0.03","0.78","0.78","0.11","17.3","1","0.37","1.5","32.5","2.3","8.2","0.01","<0.002","0.002","270","270","9","114","2.4","0.11","2.1"
"Mirs Bay","MM1","1991-01-29","1","Bottom Water","<0.5","0.004","3.7","0.03","0.69","0.68","0.1","17","1","0.36","1.5","32.6","1.3","8.2","0.005","<0.002","0.003","260","250","8.1","103","1.9","0.09","2"
"Mirs Bay","MM1","1991-02-28","1","Surface Water","<0.5","0.001","3.7","0.05","1.43","1.4","0.05","18.3","2","0.64","1.8","32.3","1.5","8.2","0.021","0.002","0.03","3","3","12.9","152","9.3","0.016","2.1"
"Mirs Bay","MM1","1991-02-28","1","Middle Water","3","0.002","10","0.05","1.42","1.4","0.09","18.1","16","1.1","1.8","32.4","3.5","8.1","0.012","<0.002","0.02","5","4","9.1","106","5.9","0.068","1.5"
"Mirs Bay","MM1","1991-02-28","1","Bottom Water","<0.5","0.003","6","0.06","1.43","1.4","0.12","17.7","2","0.64","1.8","32.7","3.8","8.2","0.01","0.002","0.031","1","1","8.3","97","8.5","0.09","1.8"
"Mirs Bay","MM1","1991-03-26","1","Surface Water","<0.5","0.008","3","0.06","0.81","0.77","0.19","21.5","0.5","0.92","3","32.1","0.5","8.2","0.028","0.004","0.031","10","8","7.7","98","1.6","0.15","1.3"
"Mirs Bay","MM1","1991-03-26","1","Middle Water","<0.5","0.003","3.5","0.04","0.62","0.59","0.09","20.7","<0.5","1.1","3","32.2","0.9","8.2","0.016","0.004","0.021","3","2","7.1","88","0.3","0.066","0.7"
"Mirs Bay","MM1","1991-03-26","1","Bottom Water","6","0.003","8.2","0.05","0.59","0.56","0.11","19.5","7.5","1.4","3","32.7","<0.2","8.1","0.015","0.007","0.022","1","1","5.6","68","1.1","0.082","0.6"
"Mirs Bay","MM1","1991-05-09","1","Surface Water","1.5","0.011","3.1","0.08","0.79","0.72","0.36","24.4","2","0.95","1.8","32","2.9","8","0.043","0.013","0.054","14","14","7.4","100","1.6","0.295","2.7"
"Mirs Bay","MM1","1991-05-09","1","Middle Water","1","0.004","2.8","0.04","0.43","0.42","0.09","24.2","2.5","0.45","1.8","32.7","2","8.1","0.011","<0.002","0.003","9","9","7.5","102","0.3","0.085","0.7"
