"Water Control Zone","Station","Dates","Sample No","Depth","Volatile Suspended Solids (mg/L)","Unionised Ammonia (mg/L)","Turbidity (NTU)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Inorganic Nitrogen (mg/L)","Temperature (°C)","Suspended Solids (mg/L)","Silica (mg/L)","Secchi Disc Depth (M)","Salinity (psu)","Phaeo-pigments (μg/L)","pH","Orthophosphate Phosphorus (mg/L)","Nitrite Nitrogen (mg/L)","Nitrate Nitrogen (mg/L)","Faecal Coliforms (cfu/100mL)","E. coli (cfu/100mL)","Dissolved Oxygen (mg/L)","Dissolved Oxygen (%saturation)","Chlorophyll-a (μg/L)","Ammonia Nitrogen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Port Shelter","PM1","1986-01-15","1","Surface Water","N/A","N/A","1","N/A","N/A","N/A","N/A","16.9","N/A","N/A","N/A","32.6","N/A","N/A","N/A","N/A","N/A","<4","<4","N/A","94","N/A","N/A","N/A"
"Port Shelter","PM1","1986-01-15","1","Middle Water","N/A","N/A","1.4","<0.02","N/A","0.1","N/A","16.6","36","N/A","N/A","32.9","N/A","8.3","N/A","N/A","N/A","<4","<4","N/A","99","1.4","N/A","1.1"
"Port Shelter","PM1","1986-01-15","1","Bottom Water","N/A","N/A","0.7","N/A","N/A","N/A","N/A","16.5","N/A","N/A","N/A","32.9","N/A","N/A","N/A","N/A","N/A","<4","<4","N/A","100","N/A","N/A","N/A"
"Port Shelter","PM1","1986-03-10","1","Surface Water","N/A","N/A","0.8","N/A","N/A","N/A","N/A","15.7","N/A","N/A","N/A","32","N/A","N/A","N/A","N/A","N/A","350","350","N/A","106","N/A","N/A","N/A"
"Port Shelter","PM1","1986-03-10","1","Middle Water","N/A","N/A","0.6","<0.02","N/A","0.15","N/A","15.3","13","N/A","N/A","32","N/A","8","N/A","N/A","N/A","<4","<4","N/A","110","0.8","N/A","1"
"Port Shelter","PM1","1986-03-10","1","Bottom Water","N/A","N/A","0.5","N/A","N/A","N/A","N/A","13.9","N/A","N/A","N/A","32","N/A","N/A","N/A","N/A","N/A","20","20","N/A","112","N/A","N/A","N/A"
"Port Shelter","PM1","1988-01-04","1","Surface Water","4","0.002","5","0.04","0.48","0.47","0.04","18.6","9.5","0.99","4","31.3","0.6","8.4","0.006","0.003","0.003","2","2","7.5","96","3.1","0.035","1.4"
"Port Shelter","PM1","1988-01-04","1","Middle Water","2.5","0.002","4","0.03","0.5","0.49","0.03","18.2","8","1","4","31.5","0.6","8.4","<0.005","0.002","0.003","N/A","N/A","7.8","101","3.4","0.025","1.8"
"Port Shelter","PM1","1988-01-04","1","Bottom Water","1.5","0.002","3.8","0.05","0.38","0.37","0.04","18","2","1.1","4","31.5","1","8.4","<0.005","0.002","0.003","26","22","6.1","78","2.5","0.033","1.5"
"Port Shelter","PM1","1988-02-04","1","Surface Water","6.5","0.002","1.9","0.03","0.32","0.32","0.04","18.1","11","0.85","3","32.8","1.9","8.2","<0.005","0.002","0.002","2","2","8.3","106","1.7","0.04","1.3"
"Port Shelter","PM1","1988-02-04","1","Middle Water","6","0.002","1.8","0.04","0.38","0.37","0.04","18.1","16","0.86","3","32.8","0.4","8.3","0.005","0.002","0.004","4","4","8.3","106","2.3","0.033","1.5"
"Port Shelter","PM1","1988-02-04","1","Bottom Water","7.5","0.002","2","0.04","0.39","0.38","0.05","18.1","13","0.92","3","32.8","1.4","8.2","0.007","0.003","0.004","1","1","8.2","105","1.7","0.04","1.3"
"Port Shelter","PM1","1988-03-03","1","Surface Water","4.5","0.001","1.4","0.1","0.74","0.74","0.02","16","14","0.89","6","32.6","1.4","8.2","<0.005","<0.002","<0.002","10","10","7.8","96","0.4","0.011","1.6"
"Port Shelter","PM1","1988-03-03","1","Middle Water","1.5","0.001","1.4","0.07","0.44","0.44","0.03","16","2.5","0.87","6","32.2","0.6","8.2","<0.005","<0.002","<0.002","10","10","7.9","96","0.6","0.026","1.5"
"Port Shelter","PM1","1988-03-03","1","Bottom Water","1.5","0.001","1.2","0.06","0.49","0.49","0.01","16","2.5","0.9","6","32.6","0.2","8.2","<0.005","<0.002","0.002","6","6","7.8","96","1","0.006","1.6"
"Port Shelter","PM1","1988-04-07","1","Surface Water","2","0.001","5.7","0.04","0.46","0.46","0.03","16.8","2.5","0.92","2.8","32.4","0.6","8.3","<0.005","<0.002","0.002","10","8","7.9","99","6.5","0.023","1.5"
"Port Shelter","PM1","1988-04-07","1","Middle Water","2","0.001","3.1","0.02","0.61","0.61","0.02","16.8","2.5","1","2.8","32.6","<0.2","8.3","<0.005","<0.002","0.002","10","10","7.4","92","8","0.017","2"
"Port Shelter","PM1","1988-04-07","1","Bottom Water","1.5","0.001","5.8","0.02","0.89","0.89","0.02","16.7","2.5","0.85","2.8","32.7","0.9","8.2","<0.005","<0.002","<0.002","6","6","6.5","83","2.5","0.011","0.7"
"Port Shelter","PM1","1988-05-09","1","Surface Water","1","0.001","2.8","0.06","0.34","0.34","0.01","28.1","1","0.63","2.2","26.5","0.7","8.3","0.013","<0.002","<0.002","1","1","7.1","106","3.4","0.005","1.3"
"Port Shelter","PM1","1988-05-09","1","Middle Water","1.5","0.001","3.3","0.03","0.52","0.52","0.01","21.8","2","0.82","2.2","27.6","1.1","8.3","0.005","<0.002","<0.002","4","4","4.8","64","3.1","<0.005","1.1"
"Port Shelter","PM1","1988-05-09","1","Bottom Water","1","0.001","3.4","0.04","0.79","0.79","0.01","21","1","1.3","2.2","27.8","0.5","8","0.011","0.002","<0.002","1","1","3.7","49","1.1","<0.005","0.6"
"Port Shelter","PM1","1988-06-02","1","Surface Water","1.5","0.001","5","0.02","0.63","0.63","0.01","25.3","3.5","0.46","2","33.5","1.8","8.1","<0.005","<0.002","<0.002","1","1","5.6","82","5","0.006","0.9"
"Port Shelter","PM1","1988-06-02","1","Middle Water","1.5","0.001","5.2","<0.02","0.38","0.38","0.01","25.1","2","0.46","2","33.6","0.5","8.2","<0.005","<0.002","<0.002","1","1","5.4","80","2.9","0.006","0.8"
"Port Shelter","PM1","1988-06-02","1","Bottom Water","1.5","0.001","7.5","0.02","0.46","0.46","0.01","24.9","3.5","0.64","2","33.5","1.9","8.1","<0.005","<0.002","<0.002","10","1","4.6","68","5.3","0.006","0.9"
"Port Shelter","PM1","1988-07-04","1","Surface Water","2","0.001","3","0.03","0.32","0.32","0.01","28.9","3","0.27","3","31.2","2.7","8.3","<0.005","<0.002","<0.002","2","2","6.4","99","0.8","0.006","0.7"
"Port Shelter","PM1","1988-07-04","1","Middle Water","1.5","0.001","3.5","0.05","0.54","0.53","0.02","25.3","2","0.37","3","33.7","0.9","8.2","<0.005","<0.002","0.003","2","2","4.8","71","1","0.01","0.5"
"Port Shelter","PM1","1988-07-04","1","Bottom Water","2","0.001","5","0.03","0.43","0.43","0.01","23.7","4.5","0.88","3","34.3","1.8","8.1","0.008","<0.002","<0.002","30","30","2.7","39","3.1","0.006","0.9"
"Port Shelter","PM1","1988-08-04","1","Surface Water","1.5","0.005","2.5","<0.02","0.2","0.2","0.04","28.7","2","<0.05","3","28.7","<0.2","8.4","<0.005","<0.002","<0.002","8","8","6.6","101","2.3","0.04","1.3"
"Port Shelter","PM1","1988-08-04","1","Middle Water","1","0.001","3","<0.02","0.15","0.15","0.02","28","1.5","0.06","3","30.7","1.7","8.4","<0.005","<0.002","0.002","2","2","5.6","85","5","0.012","0.9"
"Port Shelter","PM1","1988-08-04","1","Bottom Water","1","0.002","5","0.02","0.17","0.16","0.03","26.4","3.5","0.44","3","32","3.4","8.3","<0.005","0.002","0.005","1","1","3.1","46","3.1","0.024","1.2"
"Port Shelter","PM1","1988-09-05","1","Surface Water","<0.5","0.001","3.6","0.02","0.32","0.31","0.01","29","<0.5","0.18","N/A","31.7","1.9","8.4","<0.005","<0.002","0.003","10","10","6.8","105","4.8","<0.005","0.2"
"Port Shelter","PM1","1988-09-05","1","Middle Water","2.5","0.001","4.5","0.06","0.33","0.32","0.02","23.3","3.5","1.3","N/A","34.2","1.5","8.1","0.024","0.002","0.003","20","20","2.9","42","3.1","0.01","1.2"
"Port Shelter","PM1","1988-09-05","1","Bottom Water","1.5","0.001","4.5","0.06","0.32","0.31","0.04","22.3","2","1.5","N/A","34.3","1.5","8","0.028","0.003","0.011","1","1","2.4","34","2.9","0.024","1.2"
"Port Shelter","PM1","1988-10-03","1","Surface Water","1.5","0.002","3.1","0.02","0.61","0.6","0.05","26.4","3","0.89","2.5","31.9","0.9","8","<0.005","0.002","0.01","2","1","5.8","85","1.5","0.033","0.5"
"Port Shelter","PM1","1988-10-03","1","Middle Water","1.5","0.004","4.1","<0.02","0.58","0.57","0.05","26.2","4","0.87","2.5","32","1.3","8.4","<0.005","0.002","0.01","2","2","5.8","87","1.9","0.04","0.4"
"Port Shelter","PM1","1988-10-03","1","Bottom Water","1.5","0.005","2.6","<0.02","0.42","0.41","0.06","26.1","3.5","0.86","2.5","31.9","0.6","8.4","<0.005","0.002","0.011","4","4","5.6","83","1.9","0.046","0.4"
"Port Shelter","PM1","1988-11-14","1","Surface Water","1","0.002","3","0.02","0.41","0.33","0.13","20.6","3","1.2","1.8","31.4","0.3","8.2","0.018","0.006","0.078","1","1","6.2","84","0.4","0.044","0.2"
"Port Shelter","PM1","1988-11-14","1","Middle Water","0.5","0.002","3.9","0.03","0.36","0.27","0.13","20.6","2","1.3","1.8","31.4","<0.2","8.3","0.013","0.006","0.082","1","1","6.3","85","0.8","0.039","0.2"
"Port Shelter","PM1","1988-11-14","1","Bottom Water","1","0.002","3.9","0.02","0.46","0.37","0.13","20.6","2","1.2","1.8","31.4","<0.2","8.2","0.01","0.007","0.081","1","1","6.3","84","1","0.039","0.2"
"Port Shelter","PM1","1988-12-06","1","Surface Water","1","0.001","2.5","0.02","0.29","0.28","0.01","18.9","2.5","0.29","N/A","31.5","<0.2","8.5","<0.005","<0.002","0.006","1","1","7.2","94","1.9","<0.005","1.3"
"Port Shelter","PM1","1988-12-06","1","Middle Water","0.5","0.001","2.5","<0.02","0.34","0.33","0.01","18.9","1.5","0.23","N/A","31.5","0.8","8.5","<0.005","<0.002","0.004","2","2","7","92","1.7","<0.005","1"
"Port Shelter","PM1","1988-12-06","1","Bottom Water","1","0.001","3","<0.02","0.37","0.37","0.01","18.8","2","0.19","N/A","31.6","0.6","8.5","<0.005","<0.002","0.002","4","4","7.2","94","2","0.006","1.3"
"Port Shelter","PM1","1989-01-06","1","Surface Water","0.5","0.003","2.3","0.03","0.36","0.31","0.08","17.6","1.5","0.89","4","32","0.5","8.4","0.008","0.01","0.035","4","4","7.1","91","0.2","0.039","0.8"
"Port Shelter","PM1","1989-01-06","1","Middle Water","1","0.003","2","0.03","0.51","0.47","0.08","17.6","1.5","0.91","4","32","<0.2","8.4","0.01","0.01","0.034","20","20","7.2","92","0.6","0.037","0.8"
"Port Shelter","PM1","1989-01-06","1","Bottom Water","1","0.002","2.7","0.02","0.3","0.26","0.07","17.6","1.5","0.91","4","32","0.5","8.4","0.007","0.01","0.034","16","16","7.3","93","1","0.029","0.8"
"Port Shelter","PM1","1989-02-02","1","Surface Water","1.5","N/A","5","0.02","0.27","0.22","0.06","15.6","2.5","0.81","5","N/A","0.8","8.3","0.009","0.006","0.041","2","2","8","97","1.9","0.009","0.8"
"Port Shelter","PM1","1989-02-02","1","Middle Water","1","N/A","3.4","0.03","0.23","0.18","0.06","15.6","1","0.79","5","N/A","0.9","8.3","0.007","0.005","0.043","1","1","8","98","2.5","0.007","0.8"
"Port Shelter","PM1","1989-02-02","1","Bottom Water","1","N/A","4.8","0.02","0.29","0.24","0.06","15.6","2","0.79","5","N/A","0.8","8.3","0.007","0.007","0.046","1","1","8","98","2.3","0.009","0.6"
"Port Shelter","PM1","1989-03-03","1","Surface Water","0.5","0.003","1.8","<0.02","0.34","0.33","0.06","16.7","1","0.36","4","32.1","0.2","8.4","0.009","0.002","0.01","22","18","7.7","96","0.4","0.044","0.8"
"Port Shelter","PM1","1989-03-03","1","Middle Water","0.5","0.001","1.4","0.02","0.29","0.28","0.03","16.2","0.5","0.38","4","32.1","<0.2","8.4","0.009","0.002","0.007","2","2","8","100","0.4","0.023","0.5"
"Port Shelter","PM1","1989-03-03","1","Bottom Water","1","0.001","1.8","<0.02","0.27","0.26","0.01","15.2","1","0.47","4","32.2","<0.2","8.4","<0.005","0.003","0.003","1","1","6.9","85","0.3","0.005","0.6"
"Port Shelter","PM1","1989-04-11","1","Surface Water","0.5","0.002","2.7","<0.02","0.22","0.21","0.03","20.6","0.5","0.52","3","32.3","1.3","8.3","0.006","0.002","0.008","12","2","6.9","93","12","0.023","0.6"
"Port Shelter","PM1","1989-04-11","1","Middle Water","1","0.001","2.6","<0.02","0.29","0.27","0.04","20.6","1.5","0.41","3","32.3","0.9","8.3","0.005","0.003","0.016","6","1","6.8","92","13","0.021","0.5"
"Port Shelter","PM1","1989-04-11","1","Bottom Water","0.5","0.001","2.9","0.02","0.22","0.21","0.03","19.9","1","0.25","3","33.4","2.1","8.3","0.02","0.002","0.011","2","2","6.2","82","7.6","0.021","0.2"
"Port Shelter","PM1","1989-05-05","1","Surface Water","0.5","0.004","4","0.03","0.31","0.23","0.14","22.6","1","0.97","2.3","28","0.7","8.3","0.019","0.005","0.072","54","32","6.2","86","2.7","0.06","1.1"
"Port Shelter","PM1","1989-05-05","1","Middle Water","<0.5","0.002","4","<0.02","0.17","0.15","0.04","22","<0.5","0.22","2.3","32","0.7","8.3","0.009","0.003","0.015","8","6","6.2","85","1.3","0.024","0.4"
"Port Shelter","PM1","1989-05-05","1","Bottom Water","0.5","0.001","3.3","0.02","0.15","0.14","0.04","21.6","1","0.35","2.3","32.5","1","8.2","0.011","0.004","0.008","4","4","5.7","78","0.7","0.025","0.3"
"Port Shelter","PM1","1989-06-05","1","Surface Water","0.5","0.001","5","<0.02","0.17","0.16","0.02","23.6","1","<0.05","2.5","30.9","4.1","8.3","0.005","<0.002","0.003","2","2","7","96","11","0.013","0.7"
"Port Shelter","PM1","1989-06-05","1","Middle Water","1","0.003","4.2","<0.02","0.19","0.18","0.03","22.8","2","0.09","2.5","31.2","3.8","8.5","0.005","<0.002","0.007","10","10","6.5","88","5.8","0.025","1.7"
"Port Shelter","PM1","1989-06-05","1","Bottom Water","0.5","0.001","5.3","0.05","0.28","0.27","0.01","22.4","1.5","0.36","2.5","32.1","5.1","8.4","0.008","<0.002","0.003","4","2","5.8","76","2.4","0.009","0.9"
"Port Shelter","PM1","1989-07-07","1","Surface Water","1.5","0.001","4.1","0.04","0.16","0.15","0.01","31.1","2.5","0.34","1.9","31.7","1.2","8.4","0.007","<0.002","0.004","1","1","6.6","107","0.9","0.005","1"
"Port Shelter","PM1","1989-07-07","1","Middle Water","1","0.002","4.4","0.08","0.22","0.21","0.03","25.7","1.5","0.94","1.9","33.3","1.8","8.4","0.034","0.003","0.006","1","1","4.8","72","1.5","0.016","0.9"
"Port Shelter","PM1","1989-07-07","1","Bottom Water","1","0.002","5.6","0.04","0.23","0.22","0.03","24.1","3","0.88","1.9","33.7","3.1","8.4","0.013","0.005","0.006","1","1","4.3","61","3.3","0.018","1.7"
"Port Shelter","PM1","1989-08-04","1","Surface Water","1","0.001","2.1","0.02","0.32","0.31","0.01","26.6","1","0.11","2.5","32.4","1.2","8.8","0.014","<0.002","0.006","1","1","7.8","119","2.3","<0.005","1.8"
"Port Shelter","PM1","1989-08-04","1","Middle Water","<0.5","0.001","1.5","<0.02","0.24","0.23","0.01","24.7","<0.5","0.16","2.5","33","0.7","8.7","<0.005","<0.002","0.004","1","1","6.6","95","2.2","<0.005","1.3"
"Port Shelter","PM1","1989-08-04","1","Bottom Water","1","0.002","2.3","0.02","0.18","0.17","0.02","24.2","1.5","0.07","2.5","33.1","1.1","8.7","0.014","<0.002","0.008","1","1","2.6","60","2","0.009","1.2"
"Port Shelter","PM1","1989-09-04","1","Surface Water","1.5","0.005","1.7","<0.02","0.11","0.1","0.03","31.1","1.5","0.45","2.3","31.5","0.6","8.7","0.014","<0.002","0.009","1","1","5.8","93","3.7","0.018","1.2"
"Port Shelter","PM1","1989-09-04","1","Middle Water","2","0.004","2.7","0.02","0.2","0.19","0.03","28","2","0.97","2.3","33","1.1","8.6","0.011","<0.002","0.006","1","1","4.3","66","6.5","0.021","1.7"
"Port Shelter","PM1","1989-09-04","1","Bottom Water","1.5","0.003","1.7","0.11","0.19","0.13","0.09","25.1","1.5","1.9","2.3","33.7","<0.2","8.4","0.014","0.009","0.05","1","1","0.9","14","1.4","0.03","1.1"
"Port Shelter","PM1","1989-10-06","1","Surface Water","1","0.004","2.3","0.02","0.23","0.2","0.05","27.8","2","1.1","2.5","32","1.9","8.6","0.007","0.002","0.029","2","2","6","92","8.4","0.022","1.2"
"Port Shelter","PM1","1989-10-06","1","Middle Water","2","0.006","2.7","0.02","0.22","0.21","0.04","27.8","3","2.3","2.5","32","2.1","8.6","0.011","<0.002","0.005","4","4","6.1","93","6.2","0.035","1.2"
"Port Shelter","PM1","1989-10-06","1","Bottom Water","2","0.002","2.1","0.03","0.25","0.23","0.03","27.6","4","1.5","2.5","32.4","1.2","8.6","0.01","0.002","0.014","1","1","3.8","60","8.1","0.012","1.3"
"Port Shelter","PM1","1989-11-03","1","Surface Water","1","0.001","4.8","0.04","0.63","0.63","0.01","25.6","4","0.92","1.9","32.2","2.9","8.5","<0.005","<0.002","0.002","1","1","5.9","89","3.3","0.006","1"
"Port Shelter","PM1","1989-11-03","1","Middle Water","1","0.002","6.6","<0.02","0.68","0.68","0.02","25.3","3.5","0.97","1.9","32.3","2.9","8.5","<0.005","<0.002","0.002","5","5","5.5","83","3.7","0.015","0.9"
"Port Shelter","PM1","1989-11-03","1","Bottom Water","1","0.001","5.9","0.02","0.64","0.64","0.01","25","4","1.9","1.9","32.4","2","8.5","<0.005","<0.002","<0.002","1","1","5","74","3.9","<0.005","0.8"
"Port Shelter","PM1","1989-12-04","1","Surface Water","1.5","0.001","1.6","0.03","0.26","0.25","0.02","19.3","1.5","0.59","2.2","31.8","<0.2","8.5","0.01","0.004","0.007","2","2","7.5","99","1.3","<0.005","0.9"
"Port Shelter","PM1","1989-12-04","1","Middle Water","4","0.001","2.5","0.02","0.51","0.48","0.03","19.1","9.5","0.22","2.2","31.8","0.5","8.5","0.008","0.003","0.023","1","1","6.8","91","1.3","<0.005","0.8"
"Port Shelter","PM1","1989-12-04","1","Bottom Water","2","0.001","2.4","0.04","0.86","0.86","0.01","18.9","2","0.27","2.2","31.8","<0.2","8.5","0.01","0.002","0.002","1","1","6.6","86","2.1","0.005","0.9"
"Port Shelter","PM1","1990-01-08","1","Surface Water","1.5","0.001","2.8","0.03","0.9","0.87","0.04","20.6","1.5","0.87","3","33.2","0.7","8.3","<0.005","0.004","0.03","2","2","7.8","97","1.3","0.01","0.6"
"Port Shelter","PM1","1990-01-08","1","Middle Water","5.5","0.001","2.3","0.04","0.94","0.91","0.05","20.5","25","0.88","3","33.2","1.6","8.4","0.005","0.005","0.022","4","4","7.6","94","0.5","0.019","1.1"
"Port Shelter","PM1","1990-01-08","1","Bottom Water","2","0.001","3","0.04","0.9","0.88","0.05","20.3","3.5","0.89","3","33.2","2","8.3","0.005","0.005","0.019","8","8","6.8","83","0.2","0.021","0.8"
"Port Shelter","PM1","1990-02-02","1","Surface Water","0.5","0.001","1.5","0.03","0.33","0.33","0.01","15.8","0.5","0.63","3","31.3","<0.2","8.5","0.006","0.002","<0.002","1","1","7.2","80","5.1","0.005","0.4"
"Port Shelter","PM1","1990-02-02","1","Middle Water","1","0.003","1.6","0.04","0.34","0.31","0.07","15.7","1.5","0.6","3","31.3","0.6","8.6","0.007","0.004","0.024","1","1","6.9","76","2.3","0.039","0.2"
"Port Shelter","PM1","1990-02-02","1","Bottom Water","1","0.001","2.2","0.04","0.3","0.28","0.02","15.6","1","0.61","3","31.4","3","8.6","<0.002","0.002","0.016","6","6","6.8","74","1.4","0.006","0.3"
"Port Shelter","PM1","1990-03-02","1","Surface Water","1","0.003","1.9","0.05","0.26","0.25","0.04","15.4","1.5","0.93","2.4","30.4","1.7","8.6","0.018","<0.002","0.007","1","1","7.4","81","<0.2","0.032","0.4"
"Port Shelter","PM1","1990-03-02","1","Middle Water","1.5","0.002","2.4","0.05","0.27","0.26","0.03","15.4","4.5","0.96","2.4","30.8","0.5","8.6","0.017","<0.002","0.01","6","4","6.7","74","0.3","0.022","0.3"
"Port Shelter","PM1","1990-03-02","1","Bottom Water","1","0.015","2.6","0.06","0.45","0.43","0.18","15.3","2.5","1","2.4","31.1","<0.2","8.7","0.032","<0.002","0.013","8","8","6.8","74","0.3","0.16","0.6"
"Port Shelter","PM1","1990-04-06","1","Surface Water","1","0.002","2.9","0.02","0.48","0.46","0.05","19.1","1","0.52","6.5","29.7","1.1","8.3","0.002","0.004","0.014","110","100","6.4","76","<0.2","0.036","0.5"
"Port Shelter","PM1","1990-04-06","1","Middle Water","1","0.003","2.1","0.04","0.35","0.33","0.06","19","1","0.55","6.5","32.1","<0.2","8.4","<0.002","0.003","0.014","64","62","6.5","78","0.5","0.043","0.6"
"Port Shelter","PM1","1990-04-06","1","Bottom Water","<0.5","0.002","2","0.04","0.38","0.34","0.07","19","1","0.56","6.5","32.1","<0.2","8.4","<0.002","0.003","0.034","62","56","6.6","79","0.3","0.037","0.4"
"Port Shelter","PM1","1990-05-04","1","Surface Water","0.5","0.002","2.4","0.08","0.46","0.43","0.04","23.6","2","0.05","2.6","32.1","0.3","8.7","0.007","0.006","0.023","1","1","7.6","102","5.1","0.012","0.4"
"Port Shelter","PM1","1990-05-04","1","Middle Water","0.5","0.005","2.6","0.1","0.47","0.34","0.17","21.2","2.5","0.51","2.6","33","1.9","8.7","0.054","0.007","0.12","1","1","6.6","84","3.7","0.039","0.2"
"Port Shelter","PM1","1990-05-04","1","Bottom Water","0.5","0.005","2.3","0.04","0.39","0.37","0.06","20.5","2","0.53","2.6","33","<0.2","8.6","0.007","0.007","0.011","1","1","6.7","83","2.4","0.037","0.2"
"Port Shelter","PM1","1990-06-08","1","Surface Water","1","0.006","2.4","0.02","0.53","0.38","0.18","26.5","1","1","2.5","29.8","<0.2","8.6","<0.002","0.029","0.12","170","150","7.2","102","1.9","0.032","0.8"
"Port Shelter","PM1","1990-06-08","1","Middle Water","0.5","0.003","1.6","0.02","0.46","0.43","0.05","26","3","0.59","2.5","32","<0.2","8.6","<0.002","0.004","0.022","1","1","6.5","91","0.3","0.021","0.4"
"Port Shelter","PM1","1990-06-08","1","Bottom Water","0.5","0.006","2.5","0.02","0.44","0.39","0.09","25.5","2","0.67","2.5","32.5","<0.2","8.6","<0.002","0.006","0.046","1","1","5.7","79","0.5","0.036","0.3"
