"Water Control Zone","Station","Dates","Sample No","Depth","Volatile Suspended Solids (mg/L)","Unionised Ammonia (mg/L)","Turbidity (NTU)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Inorganic Nitrogen (mg/L)","Temperature (°C)","Suspended Solids (mg/L)","Silica (mg/L)","Secchi Disc Depth (M)","Salinity (psu)","Phaeo-pigments (μg/L)","pH","Orthophosphate Phosphorus (mg/L)","Nitrite Nitrogen (mg/L)","Nitrate Nitrogen (mg/L)","Faecal Coliforms (cfu/100mL)","E. coli (cfu/100mL)","Dissolved Oxygen (mg/L)","Dissolved Oxygen (%saturation)","Chlorophyll-a (μg/L)","Ammonia Nitrogen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Tolo Harbour and Channel","TM2","1986-01-08","1","Surface Water","7.5","0.004","5.9","0.11","0.78","0.74","0.1","15.9","15","0.28","0.8","32.1","7.2","8.5","0.024","0.003","0.038","N/A","N/A","9.9","121","31","0.055","3.9"
"Tolo Harbour and Channel","TM2","1986-01-08","1","Middle Water","5.5","0.003","5.4","0.09","0.81","0.78","0.07","15.9","9.5","0.25","0.8","32.2","6.1","8.5","0.022","<0.002","0.028","N/A","N/A","9.9","120","33","0.042","4"
"Tolo Harbour and Channel","TM2","1986-01-08","1","Bottom Water","7.5","0.005","6.3","0.12","0.75","0.71","0.13","15.9","40","0.32","0.8","32.3","7.8","8.4","0.023","0.007","0.037","N/A","N/A","8.4","104","21","0.09","3.2"
"Tolo Harbour and Channel","TM2","1986-01-22","1","Surface Water","2","0.01","2.7","0.1","0.94","0.84","0.22","17.4","3","0.23","1.9","32.1","3.1","8.6","0.05","0.003","0.094","N/A","N/A","8.2","103","12","0.119","1.4"
"Tolo Harbour and Channel","TM2","1986-01-22","1","Middle Water","1.5","0.011","2.5","0.13","1.01","0.92","0.22","17.5","1.5","0.82","1.9","32","3.4","8.5","0.061","0.003","0.083","N/A","N/A","8.2","103","10","0.13","1.6"
"Tolo Harbour and Channel","TM2","1986-01-22","1","Bottom Water","1.5","0.01","2.8","0.09","0.79","0.67","0.25","17.5","4","0.29","1.9","32.2","2.6","8.5","0.076","0.003","0.119","N/A","N/A","7.6","95","7.5","0.13","1.4"
"Tolo Harbour and Channel","TM2","1986-02-05","1","Surface Water","1","0.007","5.1","0.19","1.41","1.1","0.7","16.3","3.5","0.89","1.2","31.6","4.5","7.9","0.09","0.017","0.289","N/A","N/A","6.1","75","20","0.389","3.4"
"Tolo Harbour and Channel","TM2","1986-02-05","1","Middle Water","0.5","0.004","4.8","0.08","0.83","0.66","0.37","16.8","<0.5","0.74","1.2","32.3","2.1","7.9","0.06","0.01","0.16","N/A","N/A","5.5","68","6.7","0.199","2"
"Tolo Harbour and Channel","TM2","1986-02-05","1","Bottom Water","0.5","0.003","4.6","0.11","0.9","0.77","0.33","16.8","2.5","0.78","1.2","32.5","1.9","7.8","0.034","0.01","0.119","N/A","N/A","5.4","67","5.3","0.199","1.7"
"Tolo Harbour and Channel","TM2","1986-02-19","1","Surface Water","4.5","0.004","7.6","0.21","1.43","1.1","0.48","16.2","8.5","0.06","1","29.3","6.8","8.1","0.065","0.023","0.309","N/A","N/A","7","86","46","0.149","4"
"Tolo Harbour and Channel","TM2","1986-02-19","1","Middle Water","4.5","0.004","7.6","0.21","1.43","1.1","0.5","16.2","9","0.06","1","29.4","7.6","8","0.077","0.022","0.309","N/A","N/A","6.6","82","41","0.169","3.4"
"Tolo Harbour and Channel","TM2","1986-02-19","1","Bottom Water","4.5","0.004","7.5","0.16","1.27","0.99","0.45","16.1","8.5","0.05","1","29.9","7.8","8","0.069","0.022","0.259","N/A","N/A","5.5","68","33","0.169","3.2"
"Tolo Harbour and Channel","TM2","1986-03-05","1","Surface Water","1","0.012","1.3","0.12","0.86","0.7","0.51","14.7","2","0.81","2.7","31.5","4.5","8.2","0.07","0.009","0.149","N/A","N/A","9.2","109","2.7","0.35","1.4"
"Tolo Harbour and Channel","TM2","1986-03-05","1","Middle Water","0.5","0.004","1.7","0.05","0.46","0.4","0.17","14.5","1.5","0.71","2.7","31.9","3.5","8.2","0.028","0.006","0.057","N/A","N/A","9.3","110","1.5","0.11","2"
"Tolo Harbour and Channel","TM2","1986-03-05","1","Bottom Water","3","0.003","2.1","0.12","0.84","0.8","0.12","14.4","4","0.84","2.7","32.1","4","8.2","0.02","0.006","0.03","N/A","N/A","9","105","13","0.082","6.1"
"Tolo Harbour and Channel","TM2","1986-03-19","1","Surface Water","1","0.017","2","0.09","0.86","0.71","0.52","17.7","2","0.77","2.2","31.8","1","8.3","0.049","0.01","0.139","N/A","N/A","6.1","77","2.3","0.369","2.4"
"Tolo Harbour and Channel","TM2","1986-03-19","1","Middle Water","4","0.019","1.8","0.11","0.88","0.71","0.58","17.5","5.5","0.77","2.2","31.7","1.7","8.3","0.059","0.01","0.16","N/A","N/A","5.8","74","1.1","0.41","2.1"
"Tolo Harbour and Channel","TM2","1986-03-19","1","Bottom Water","1","0.015","1.9","0.13","0.77","0.63","0.45","17.1","5","0.79","2.2","32","1.2","8.3","0.046","0.008","0.13","N/A","N/A","5.4","67","1.7","0.309","2"
"Tolo Harbour and Channel","TM2","1986-04-02","1","Surface Water","2","0.009","6.4","0.11","1.09","0.88","0.54","17.1","5","1","1.8","31.3","3.6","8","0.052","0.018","0.19","N/A","N/A","6.6","83","8","0.33","1.4"
"Tolo Harbour and Channel","TM2","1986-04-02","1","Middle Water","1","0.009","3.2","0.11","0.92","0.71","0.53","17.1","4.5","1.3","1.8","31.5","3","8","0.058","0.018","0.19","N/A","N/A","6.6","82","8.8","0.32","1.1"
"Tolo Harbour and Channel","TM2","1986-04-02","1","Bottom Water","1","0.008","7.8","0.12","1.3","1.1","0.52","17","4","0.96","1.8","31.5","2.9","8","0.036","0.019","0.179","N/A","N/A","6.6","83","7.8","0.32","1.6"
"Tolo Harbour and Channel","TM2","1986-04-16","1","Surface Water","2","0.011","7.6","0.19","1.32","1.1","0.38","19.7","4.5","0.32","1","30.1","5.5","8.4","0.061","0.01","0.21","6100","5200","7","93","24","0.16","3.1"
"Tolo Harbour and Channel","TM2","1986-04-16","1","Middle Water","1","0.004","3.4","0.09","0.72","0.64","0.16","19.6","5.5","0.46","1","30.9","4.5","8.2","0.02","0.009","0.074","N/A","N/A","6.4","83","11","0.079","1.2"
"Tolo Harbour and Channel","TM2","1986-04-16","1","Bottom Water","2.5","0.003","2.8","0.08","0.74","0.64","0.17","19","8","0.5","1","30.7","4.6","8.2","<0.024","0.008","0.09","4200","3600","5.2","68","12","0.073","1.1"
"Tolo Harbour and Channel","TM2","1986-04-30","1","Surface Water","21","0.001","11","0.22","1.31","1.3","0.03","23.6","34","<0.05","0.8","30.2","12","8.1","0.017","<0.002","0.013","10","10","13.3","187","79","0.012","16"
"Tolo Harbour and Channel","TM2","1986-04-30","1","Middle Water","6","0.001","8","0.08","0.65","0.65","0.01","23.2","9","<0.05","0.8","30.4","7.6","8.5","0.005","<0.002","0.003","N/A","N/A","10.5","146","36","0.007","6.2"
"Tolo Harbour and Channel","TM2","1986-04-30","1","Bottom Water","4.5","0.001","5.4","0.06","0.51","0.51","0.01","22.5","6.5","<0.05","0.8","30.5","7.6","8.5","<0.002","<0.002","0.004","30","30","7.6","104","22","0.007","5.2"
"Tolo Harbour and Channel","TM2","1986-05-14","1","Surface Water","2.5","0.013","5.5","0.07","0.69","0.57","0.27","26.5","4.5","0.68","1.2","27.2","8.7","8.3","0.019","0.011","0.11","3100","2900","3.2","46","17","0.149","3.2"
"Tolo Harbour and Channel","TM2","1986-05-14","1","Middle Water","2.5","0.008","4.4","0.09","0.61","0.48","0.32","23.7","3.5","0.93","1.2","29.4","5.1","8","0.058","0.01","0.119","N/A","N/A","1.8","25","15","0.19","1.9"
"Tolo Harbour and Channel","TM2","1986-05-14","1","Bottom Water","2.5","0.005","2.8","0.04","0.46","0.43","0.25","23.3","3","1.1","1.2","31.5","1.9","7.8","0.037","0.01","0.018","260","200","1.5","20","0.8","0.22","0.7"
"Tolo Harbour and Channel","TM2","1986-05-28","1","Surface Water","9","0.055","5.6","0.13","1.2","1.1","0.39","27.2","16","0.68","1","29.5","7.6","8.6","0.014","0.011","0.09","3100","2300","8.4","125","42","0.289","6.6"
"Tolo Harbour and Channel","TM2","1986-05-28","1","Middle Water","4","0.023","4.3","0.07","0.74","0.62","0.28","25.9","5","0.52","1","29.9","7.7","8.5","0.01","0.011","0.11","N/A","N/A","5.5","81","24","0.16","3.3"
"Tolo Harbour and Channel","TM2","1986-05-28","1","Bottom Water","2","0.009","4.6","0.05","0.55","0.49","0.19","25.2","5","0.89","1","30.5","4.3","8.2","0.01","0.023","0.034","340","330","2.8","41","15","0.13","2"
"Tolo Harbour and Channel","TM2","1986-06-10","1","Surface Water","2","0.009","4.7","0.12","0.96","0.74","0.26","26","3","1.2","1","25.4","6.3","8.8","0.033","0.02","0.199","360","330","6.5","95","3","0.039","6.6"
"Tolo Harbour and Channel","TM2","1986-06-10","1","Middle Water","1.5","0.01","4.7","0.06","0.64","0.57","0.31","26.3","2.5","1.2","1","29.1","1.3","8","0.043","0.016","0.053","N/A","N/A","2.8","41","2.5","0.24","1.7"
"Tolo Harbour and Channel","TM2","1986-06-10","1","Bottom Water","2","0.002","3.6","0.08","0.78","0.74","0.09","26","3.5","1.3","1","30.4","1","7.8","0.028","0.016","0.023","250","230","0.6","9","3.5","0.055","1"
"Tolo Harbour and Channel","TM2","1986-06-25","1","Surface Water","2.5","0.005","4.9","0.1","0.63","0.58","0.11","28.7","3","0.3","1.2","29.9","8.4","8.3","0.012","0.003","0.051","2500","2400","6.4","98","46","0.056","4.6"
