"Water Control Zone","Station","Dates","Sample No","Depth","Volatile Suspended Solids (mg/L)","Unionised Ammonia (mg/L)","Turbidity (NTU)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Inorganic Nitrogen (mg/L)","Temperature (°C)","Suspended Solids (mg/L)","Silica (mg/L)","Secchi Disc Depth (M)","Salinity (psu)","Phaeo-pigments (μg/L)","pH","Orthophosphate Phosphorus (mg/L)","Nitrite Nitrogen (mg/L)","Nitrate Nitrogen (mg/L)","Faecal Coliforms (cfu/100mL)","E. coli (cfu/100mL)","Dissolved Oxygen (mg/L)","Dissolved Oxygen (%saturation)","Chlorophyll-a (μg/L)","Ammonia Nitrogen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Victoria Harbour","VM1","1988-01-14","1","Surface Water","1","0.01","2.3","0.1","0.96","0.88","0.26","18.2","1.5","0.47","2.7","31.8","1.4","8.3","0.034","0.038","0.046","1500","1400","5.9","76","5.9","0.18","N/A"
"Victoria Harbour","VM1","1988-01-14","1","Middle Water","1","0.004","2.3","0.11","0.7","0.65","0.11","18.1","2","0.41","2.7","32","0.9","8.4","0.017","0.017","0.037","N/A","N/A","6.2","79","5.1","0.058","N/A"
"Victoria Harbour","VM1","1988-01-14","1","Bottom Water","1","0.002","2","0.06","0.62","0.57","0.08","17.8","2.5","0.41","2.7","32.2","1.4","8.4","0.012","0.016","0.034","200","170","N/A","N/A","7.4","0.029","N/A"
"Victoria Harbour","VM1","1988-01-27","1","Surface Water","7","0.005","2.5","0.08","0.91","0.84","0.26","17.8","16","0.87","2.8","32.3","0.5","8","0.035","0.019","0.051","2100","1700","N/A","N/A","2.3","0.19","1"
"Victoria Harbour","VM1","1988-01-27","1","Middle Water","11","0.004","3.6","0.05","0.76","0.69","0.24","17.5","36","0.76","2.8","32.5","1.5","8","0.035","0.018","0.047","2100","2000","N/A","N/A","1.3","0.17","1.1"
"Victoria Harbour","VM1","1988-01-27","1","Bottom Water","5.5","0.002","3.8","0.06","0.56","0.5","0.14","17.5","11","0.84","2.8","32.5","0.5","8","0.021","0.016","0.046","450","430","N/A","N/A","1.1","0.078","0.4"
"Victoria Harbour","VM1","1988-02-10","1","Surface Water","1.5","0.005","4.8","0.09","0.57","0.45","0.27","17.3","2","0.75","2.3","32.8","0.8","8.2","0.034","0.081","0.043","4400","4000","6.3","80","1.3","0.15","0.9"
"Victoria Harbour","VM1","1988-02-10","1","Middle Water","4","0.005","3.6","0.06","0.55","0.45","0.23","17.3","9.5","0.73","2.3","32.9","0.5","8.2","0.037","0.064","0.036","2400","2300","6.2","78","1.3","0.13","0.9"
"Victoria Harbour","VM1","1988-02-10","1","Bottom Water","4","0.006","5.4","0.41","0.77","0.66","0.27","17.3","10","0.07","2.3","32.8","0.5","8.2","0.06","0.07","0.037","3000","2900","6.5","82","1.1","0.16","1"
"Victoria Harbour","VM1","1988-02-24","1","Surface Water","2.5","0.004","3.2","0.07","0.73","0.63","0.32","16.5","5","0.91","N/A","32.6","1","7.9","0.03","0.032","0.066","1100","700","5.7","70","1.9","0.22","1.1"
