"Water Control Zone","Station","Dates","Sample No","Depth","Volatile Suspended Solids (mg/L)","Unionised Ammonia (mg/L)","Turbidity (NTU)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Inorganic Nitrogen (mg/L)","Temperature (°C)","Suspended Solids (mg/L)","Silica (mg/L)","Secchi Disc Depth (M)","Salinity (psu)","Phaeo-pigments (μg/L)","pH","Orthophosphate Phosphorus (mg/L)","Nitrite Nitrogen (mg/L)","Nitrate Nitrogen (mg/L)","Faecal Coliforms (cfu/100mL)","E. coli (cfu/100mL)","Dissolved Oxygen (mg/L)","Dissolved Oxygen (%saturation)","Chlorophyll-a (μg/L)","Ammonia Nitrogen (mg/L)","5-day Biochemical Oxygen Demand (mg/L)"
"Western Buffer","WM1","1988-01-21","1","Surface Water","3","0.002","4","0.03","0.41","0.36","0.09","18","7","0.55","2.4","32.4","<0.2","8.3","0.015","0.016","0.036","16","14","7.1","91","3.2","0.037","1.1"
"Western Buffer","WM1","1988-01-21","1","Middle Water","5.5","0.002","2.8","0.1","0.5","0.45","0.09","17.9","14","0.95","2.4","32.4","<0.2","8.3","0.01","0.019","0.033","56","50","7.3","93","2.9","0.035","0.9"
"Western Buffer","WM1","1988-01-21","1","Bottom Water","2","0.001","9","0.02","0.43","0.38","0.08","17.8","19","0.5","2.4","32.5","0.5","8.2","0.015","0.017","0.032","62","62","7.2","90","3.6","0.03","0.7"
"Western Buffer","WM1","1988-02-22","1","Surface Water","2.5","0.001","5.5","0.03","0.47","0.42","0.07","16","4","0.69","N/A","32.7","<0.2","8.1","0.006","0.014","0.038","220","220","7.4","91","2.7","0.02","0.8"
"Western Buffer","WM1","1988-02-22","1","Middle Water","9.5","0.001","5","0.03","0.63","0.57","0.07","15.9","36","0.65","N/A","32.8","0.6","8.1","0.01","0.014","0.042","350","320","7.3","90","1","0.017","0.6"
"Western Buffer","WM1","1988-02-22","1","Bottom Water","3.5","0.001","6","0.04","0.53","0.47","0.08","15.9","11","0.68","N/A","32.7","1.3","8.1","0.007","0.014","0.046","310","310","7.2","89","1.5","0.024","0.6"
"Western Buffer","WM1","1988-03-21","1","Surface Water","5.5","0.001","3.4","0.06","0.61","0.52","0.15","16.3","13","0.99","3","31.9","0.5","8","0.021","0.003","0.082","40","40","7.2","89","1.9","0.061","1.1"
"Western Buffer","WM1","1988-03-21","1","Middle Water","3","0.002","3.2","0.05","0.48","0.4","0.14","16.1","4.5","0.95","3","31.9","<0.2","8","0.012","0.002","0.074","420","390","6.9","85","3.8","0.061","1.2"
"Western Buffer","WM1","1988-03-21","1","Bottom Water","3","0.001","18","0.05","0.53","0.46","0.11","16","9.5","0.93","3","32","1","8.1","0.011","0.003","0.066","260","230","7.3","89","2.1","0.045","0.9"
"Western Buffer","WM1","1988-04-22","1","Surface Water","1","0.003","3.6","0.05","0.81","0.64","0.23","19.9","1","0.79","2.8","32.1","0.3","8.3","0.021","0.043","0.13","200","170","7","93","1.1","0.057","1"
